venue,batting_team,bowler,innings,avg_wickets_20,avg_runs_6,avg_wickets_6,min_wickets_6,max_wickets_6
Arun Jaitley Stadium,Punjab Kings,Avesh Khan,24,2,26,1,1,1
Arun Jaitley Stadium,Punjab Kings,DT Christian,18,1,,,,
Arun Jaitley Stadium,Punjab Kings,GJ Maxwell,6,0,,,,
Arun Jaitley Stadium,Punjab Kings,I Sharma,26,0,19,0,0,0
Arun Jaitley Stadium,Punjab Kings,K Rabada,24,2,4,1,1,1
Arun Jaitley Stadium,Punjab Kings,LE Plunkett,25,3,6,1,1,1
Arun Jaitley Stadium,Punjab Kings,R Tewatia,6,0,,,,
Arun Jaitley Stadium,Punjab Kings,S Lamichhane,24,3,27,1,1,1
Arun Jaitley Stadium,Punjab Kings,SE Rutherford,6,0,,,,
Arun Jaitley Stadium,Punjab Kings,TA Boult,19,2,19,0,0,0
Arun Jaitley Stadium,Rajasthan Royals,A Mishra,48,2,8,0,0,0
Arun Jaitley Stadium,Rajasthan Royals,AR Patel,24,1,2,1,1,1
Arun Jaitley Stadium,Rajasthan Royals,Avesh Khan,24,0,36,0,0,0
Arun Jaitley Stadium,Rajasthan Royals,GJ Maxwell,12,1,,,,
Arun Jaitley Stadium,Rajasthan Royals,I Sharma,26,3,20,3,3,3
Arun Jaitley Stadium,Rajasthan Royals,KMA Paul,20,0,,,,
Arun Jaitley Stadium,Rajasthan Royals,LE Plunkett,36,0,13,0,0,0
Arun Jaitley Stadium,Rajasthan Royals,S Nadeem,12,0,14,0,0,0
Arun Jaitley Stadium,Rajasthan Royals,SE Rutherford,5,0,,,,
Arun Jaitley Stadium,Rajasthan Royals,TA Boult,69,2.5,8,0,0,0
Arun Jaitley Stadium,Royal Challengers Bangalore,A Mishra,100,1.5,,,,
Arun Jaitley Stadium,Royal Challengers Bangalore,AR Patel,48,1,10,0,0,0
Arun Jaitley Stadium,Royal Challengers Bangalore,CJ Dala,38,0,17,0,0,0
Arun Jaitley Stadium,Royal Challengers Bangalore,HV Patel,54,1,10,0,0,0
Arun Jaitley Stadium,Royal Challengers Bangalore,I Sharma,48,1,21,0,0,0
Arun Jaitley Stadium,Royal Challengers Bangalore,K Rabada,50,2,18,1,1,1
Arun Jaitley Stadium,Royal Challengers Bangalore,S Lamichhane,84,0.5,13,0.5,0,1
Arun Jaitley Stadium,Royal Challengers Bangalore,SE Rutherford,12,1,,,,
Arun Jaitley Stadium,Royal Challengers Bangalore,TA Boult,48,2,20,1,1,1
Arun Jaitley Stadium,Sunrisers Hyderabad,A Mishra,36,0,,,,
Arun Jaitley Stadium,Sunrisers Hyderabad,AR Patel,50,1,13,0,0,0
Arun Jaitley Stadium,Sunrisers Hyderabad,CH Morris,36,0,16,0,0,0
Arun Jaitley Stadium,Sunrisers Hyderabad,GJ Maxwell,12,0,,,,
Arun Jaitley Stadium,Sunrisers Hyderabad,HV Patel,48,1,19,1,1,1
Arun Jaitley Stadium,Sunrisers Hyderabad,I Sharma,14,1,,,,
Arun Jaitley Stadium,Sunrisers Hyderabad,K Rabada,42,1,14,0,0,0
Arun Jaitley Stadium,Sunrisers Hyderabad,LE Plunkett,48,0,9,0,0,0
Arun Jaitley Stadium,Sunrisers Hyderabad,R Tewatia,38,1,,,,
Arun Jaitley Stadium,Sunrisers Hyderabad,S Lamichhane,48,1,19,0,0,0
Arun Jaitley Stadium,Sunrisers Hyderabad,S Nadeem,24,0,4,0,0,0
Arun Jaitley Stadium,Sunrisers Hyderabad,TA Boult,46,0,19,0,0,0
Arun Jaitley Stadium,Sunrisers Hyderabad,V Shankar,14,0,,,,
Barabati Stadium,Chennai Super Kings,AR Patel,48,0,,,,
Barabati Stadium,Chennai Super Kings,GJ Maxwell,26,1,,,,
Barabati Stadium,Chennai Super Kings,M Kartik,48,1,13,0,0,0
Barabati Stadium,Chennai Super Kings,MG Johnson,48,2,11,0,0,0
Barabati Stadium,Chennai Super Kings,R Dhawan,26,1,,,,
Barabati Stadium,Chennai Super Kings,Sandeep Sharma,50,1,22,1,1,1
Barabati Stadium,Deccan Chargers,A Mishra,19,1,13,1,1,1
Barabati Stadium,Deccan Chargers,A Nehra,25,1,7,0,0,0
Barabati Stadium,Deccan Chargers,B Kumar,24,1,5,1,1,1
Barabati Stadium,Deccan Chargers,B Lee,24,1,11,0,0,0
Barabati Stadium,Deccan Chargers,Bipul Sharma,12,1,,,,
Barabati Stadium,Deccan Chargers,DP Nannes,24,1,14,0,0,0
Barabati Stadium,Deccan Chargers,IK Pathan,18,1,4,0,0,0
Barabati Stadium,Deccan Chargers,JH Kallis,12,0,,,,
Barabati Stadium,Deccan Chargers,L Balaji,24,2,4,1,1,1
Barabati Stadium,Deccan Chargers,M Kartik,12,0,,,,
Barabati Stadium,Deccan Chargers,MC Henriques,24,1,,,,
Barabati Stadium,Deccan Chargers,MN Samuels,18,1,14,1,1,1
Barabati Stadium,Deccan Chargers,PP Chawla,18,0,3,0,0,0
Barabati Stadium,Deccan Chargers,R Bhatia,25,2,,,,
Barabati Stadium,Deccan Chargers,S Ladda,12,1,10,1,1,1
Barabati Stadium,Deccan Chargers,S Sreesanth,25,2,27,1,1,1
Barabati Stadium,Deccan Chargers,SC Ganguly,18,0,,,,
Barabati Stadium,Deccan Chargers,SJ Srivastava,24,1,22,1,1,1
Barabati Stadium,Deccan Chargers,SP Narine,24,2,5,0,0,0
Barabati Stadium,Deccan Chargers,UT Yadav,24,1,,,,
Barabati Stadium,Deccan Chargers,WD Parnell,24,1,7,0,0,0
Barabati Stadium,Deccan Chargers,Y Nagar,18,1,10,0,0,0
Barabati Stadium,Deccan Chargers,YK Pathan,12,0,19,0,0,0
Barabati Stadium,Deccan Chargers,Yuvraj Singh,24,3,,,,
Barabati Stadium,Delhi Capitals,A Symonds,50,3,,,,
Barabati Stadium,Delhi Capitals,PP Ojha,48,2,3,1,1,1
Barabati Stadium,Delhi Capitals,R Sharma,48,2,,,,
Barabati Stadium,Delhi Capitals,RG Sharma,12,0,7,0,0,0
Barabati Stadium,Delhi Capitals,RP Singh,36,0,20,0,0,0
Barabati Stadium,Delhi Capitals,WPUJC Vaas,48,2,18,0,0,0
Barabati Stadium,Kolkata Knight Riders,A Mishra,50,1,,,,
Barabati Stadium,Kolkata Knight Riders,AR Patel,48,0,7,0,0,0
Barabati Stadium,Kolkata Knight Riders,Anand Rajan,26,1,,,,
Barabati Stadium,Kolkata Knight Riders,Ankit Sharma,48,1,4,0,0,0
Barabati Stadium,Kolkata Knight Riders,CL White,16,0,,,,
Barabati Stadium,Kolkata Knight Riders,DW Steyn,50,2,19,1,1,1
Barabati Stadium,Kolkata Knight Riders,GJ Maxwell,14,0,,,,
Barabati Stadium,Kolkata Knight Riders,Harbhajan Singh,50,2,8,0,0,0
Barabati Stadium,Kolkata Knight Riders,JJ Bumrah,36,0,16,0,0,0
Barabati Stadium,Kolkata Knight Riders,JP Duminy,2,0,,,,
Barabati Stadium,Kolkata Knight Riders,KA Pollard,12,0,,,,
Barabati Stadium,Kolkata Knight Riders,LMP Simmons,36,1,,,,
Barabati Stadium,Kolkata Knight Riders,MG Johnson,36,0,27,0,0,0
Barabati Stadium,Kolkata Knight Riders,P Awana,26,1,,,,
Barabati Stadium,Kolkata Knight Riders,PP Ojha,48,0,9,0,0,0
Barabati Stadium,Kolkata Knight Riders,R Dhawan,48,0,,,,
Barabati Stadium,Kolkata Knight Riders,SL Malinga,50,1,12,0,0,0
Barabati Stadium,Kolkata Knight Riders,Sandeep Sharma,50,0,21,0,0,0
Barabati Stadium,Kolkata Knight Riders,V Pratap Singh,50,0,19,0,0,0
Barabati Stadium,Mumbai Indians,M Morkel,29,2,14,1,1,1
Barabati Stadium,Mumbai Indians,PP Chawla,24,1,,,,
Barabati Stadium,Mumbai Indians,SP Narine,24,1,3,0,0,0
Barabati Stadium,Mumbai Indians,Shakib Al Hasan,24,1,11,1,1,1
Barabati Stadium,Mumbai Indians,UT Yadav,18,0,9,0,0,0
Barabati Stadium,Mumbai Indians,YK Pathan,6,0,,,,
Barabati Stadium,Pune Warriors,A Ashish Reddy,38,1,,,,
Barabati Stadium,Pune Warriors,A Mishra,36,0,,,,
Barabati Stadium,Pune Warriors,Ankit Sharma,24,1,3,1,1,1
Barabati Stadium,Pune Warriors,DW Steyn,50,0,25,0,0,0
Barabati Stadium,Pune Warriors,JP Duminy,42,0,8,0,0,0
Barabati Stadium,Pune Warriors,S Dhawan,12,1,,,,
Barabati Stadium,Pune Warriors,V Pratap Singh,48,2,12,0,0,0
Barabati Stadium,Punjab Kings,A Symonds,48,1,5,0,0,0
Barabati Stadium,Punjab Kings,BW Hilfenhaus,26,1,20,1,1,1
Barabati Stadium,Punjab Kings,DR Smith,19,1,,,,
Barabati Stadium,Punjab Kings,IC Pandey,24,0,12,0,0,0
Barabati Stadium,Punjab Kings,JH Kallis,19,0,17,0,0,0
Barabati Stadium,Punjab Kings,Jaskaran Singh,12,1,,,,
Barabati Stadium,Punjab Kings,M Morkel,24,2,10,2,2,2
Barabati Stadium,Punjab Kings,MM Sharma,24,2,6,1,1,1
Barabati Stadium,Punjab Kings,PP Chawla,24,3,,,,
Barabati Stadium,Punjab Kings,PP Ojha,48,1,,,,
Barabati Stadium,Punjab Kings,R Ashwin,14,0,,,,
Barabati Stadium,Punjab Kings,RA Jadeja,18,0,,,,
Barabati Stadium,Punjab Kings,RG Sharma,36,1,,,,
Barabati Stadium,Punjab Kings,RN ten Doeschate,6,0,,,,
Barabati Stadium,Punjab Kings,RP Singh,50,1,8,0,0,0
Barabati Stadium,Punjab Kings,SP Narine,24,2,,,,
Barabati Stadium,Punjab Kings,UT Yadav,25,1,22,0,0,0
Barabati Stadium,Punjab Kings,WPUJC Vaas,50,3,14,3,3,3
Brabourne Stadium,Chennai Super Kings,CJ Anderson,38,0,28,0,0,0
Brabourne Stadium,Chennai Super Kings,DJ Bravo,24,0,13,0,0,0
Brabourne Stadium,Chennai Super Kings,Harbhajan Singh,77,1.5,5,1,1,1
Brabourne Stadium,Chennai Super Kings,JJ Bumrah,46,0,17,0,0,0
Brabourne Stadium,Chennai Super Kings,KA Pollard,16,0,,,,
Brabourne Stadium,Chennai Super Kings,P Kumar,48,0,15,0,0,0
Brabourne Stadium,Chennai Super Kings,PP Ojha,36,1,,,,
Brabourne Stadium,Chennai Super Kings,R McLaren,27,1,16,1,1,1
Brabourne Stadium,Chennai Super Kings,SL Malinga,28,0,,,,
Brabourne Stadium,Chennai Super Kings,Z Khan,26,0,17,0,0,0
Brabourne Stadium,Deccan Chargers,DJ Bravo,24,1,4,1,1,1
Brabourne Stadium,Deccan Chargers,Harbhajan Singh,36,2,16,0,0,0
Brabourne Stadium,Deccan Chargers,KA Pollard,54,2,,,,
Brabourne Stadium,Deccan Chargers,R McLaren,48,2,,,,
Brabourne Stadium,Deccan Chargers,SL Malinga,42,1,14,0,0,0
Brabourne Stadium,Deccan Chargers,Z Khan,24,2,6,1,1,1
Brabourne Stadium,Delhi Capitals,AG Murtaza,48,3,,,,
Brabourne Stadium,Delhi Capitals,CRD Fernando,50,2,19,1,1,1
Brabourne Stadium,Delhi Capitals,DJ Bravo,26,0,14,0,0,0
Brabourne Stadium,Delhi Capitals,DS Kulkarni,54,2,22,0,0,0
Brabourne Stadium,Delhi Capitals,Harbhajan Singh,48,1,11,0,0,0
Brabourne Stadium,Delhi Capitals,JP Faulkner,50,2,,,,
Brabourne Stadium,Delhi Capitals,KA Pollard,48,1,,,,
Brabourne Stadium,Delhi Capitals,R Bhatia,24,0,,,,
Brabourne Stadium,Delhi Capitals,SR Watson,54,1,9,1,1,1
Brabourne Stadium,Delhi Capitals,STR Binny,30,2,17,1,1,1
Brabourne Stadium,Delhi Capitals,TG Southee,50,0,7,0,0,0
Brabourne Stadium,Delhi Capitals,Z Khan,24,0,25,0,0,0
Brabourne Stadium,Kolkata Knight Riders,BB Sran,40,0,21,0,0,0
Brabourne Stadium,Kolkata Knight Riders,CH Morris,52,4,16,1,1,1
Brabourne Stadium,Kolkata Knight Riders,DJ Bravo,26,0,7,0,0,0
Brabourne Stadium,Kolkata Knight Riders,DS Kulkarni,50,2,16,1,1,1
Brabourne Stadium,Kolkata Knight Riders,Harbhajan Singh,24,1,,,,
Brabourne Stadium,Kolkata Knight Riders,JP Faulkner,56,1,,,,
Brabourne Stadium,Kolkata Knight Riders,R McLaren,26,0,14,0,0,0
Brabourne Stadium,Kolkata Knight Riders,SL Malinga,26,0,15,0,0,0
Brabourne Stadium,Kolkata Knight Riders,SR Watson,58,2,,,,
Brabourne Stadium,Kolkata Knight Riders,STR Binny,12,0,,,,
Brabourne Stadium,Kolkata Knight Riders,Z Khan,24,2,5,0,0,0
Brabourne Stadium,Mumbai Indians,A Kumble,24,1,,,,
Brabourne Stadium,Mumbai Indians,A Mishra,18,0,5,0,0,0
Brabourne Stadium,Mumbai Indians,A Nehra,49,1.5,12,0,0,0
Brabourne Stadium,Mumbai Indians,A Symonds,25,0,16,0,0,0
Brabourne Stadium,Mumbai Indians,A Uniyal,26,3,22,1,1,1
Brabourne Stadium,Mumbai Indians,AA Jhunjhunwala,12,0,,,,
Brabourne Stadium,Mumbai Indians,AB McDonald,24,1,4,1,1,1
Brabourne Stadium,Mumbai Indians,AD Mascarenhas,24,2,13,0,0,0
Brabourne Stadium,Mumbai Indians,AD Mathews,44,0,,,,
Brabourne Stadium,Mumbai Indians,B Lee,34,0,10,0,0,0
Brabourne Stadium,Mumbai Indians,CH Gayle,52,0,13,0,0,0
Brabourne Stadium,Mumbai Indians,DW Steyn,27,3,20,1,1,1
Brabourne Stadium,Mumbai Indians,I Sharma,50,2,26,0,0,0
Brabourne Stadium,Mumbai Indians,IC Pandey,18,0,18,0,0,0
Brabourne Stadium,Mumbai Indians,IK Pathan,38,1,8,0,0,0
Brabourne Stadium,Mumbai Indians,JA Morkel,52,0,13,0,0,0
Brabourne Stadium,Mumbai Indians,JH Kallis,24,1,5,1,1,1
Brabourne Stadium,Mumbai Indians,Jaskaran Singh,13,0,8,0,0,0
Brabourne Stadium,Mumbai Indians,Joginder Sharma,28,1,16,0,0,0
Brabourne Stadium,Mumbai Indians,K Goel,12,0,,,,
Brabourne Stadium,Mumbai Indians,Kamran Khan,6,0,10,0,0,0
Brabourne Stadium,Mumbai Indians,L Balaji,50,1,34,0,0,0
Brabourne Stadium,Mumbai Indians,M Kartik,48,1,,,,
Brabourne Stadium,Mumbai Indians,M Muralitharan,50,2,,,,
Brabourne Stadium,Mumbai Indians,MM Sharma,24,3,25,0,0,0
Brabourne Stadium,Mumbai Indians,NLTC Perera,12,0,,,,
Brabourne Stadium,Mumbai Indians,P Kumar,25,1,12,0,0,0
Brabourne Stadium,Mumbai Indians,PD Collingwood,24,0,,,,
Brabourne Stadium,Mumbai Indians,PJ Sangwan,28,2,21,0,0,0
Brabourne Stadium,Mumbai Indians,PP Chawla,38,1,8,1,1,1
Brabourne Stadium,Mumbai Indians,PP Ojha,24,3,,,,
Brabourne Stadium,Mumbai Indians,R Ashwin,24,1,,,,
Brabourne Stadium,Mumbai Indians,R Sharma,18,1,,,,
Brabourne Stadium,Mumbai Indians,R Vinay Kumar,24,3,8,0,0,0
Brabourne Stadium,Mumbai Indians,RA Jadeja,24,2,,,,
Brabourne Stadium,Mumbai Indians,RG Sharma,20,0,12,0,0,0
Brabourne Stadium,Mumbai Indians,RJ Harris,24,1,17,0,0,0
Brabourne Stadium,Mumbai Indians,RS Bopara,48,3,,,,
Brabourne Stadium,Mumbai Indians,S Ladda,6,0,,,,
Brabourne Stadium,Mumbai Indians,SB Jakati,48,1,,,,
Brabourne Stadium,Mumbai Indians,SE Bond,36,0,18,0,0,0
Brabourne Stadium,Mumbai Indians,SJ Srivastava,54,1,11,0,0,0
Brabourne Stadium,Mumbai Indians,SK Raina,6,0,,,,
Brabourne Stadium,Mumbai Indians,SK Warne,19,0,,,,
Brabourne Stadium,Mumbai Indians,SW Tait,30,2,24,0,0,0
Brabourne Stadium,Mumbai Indians,VS Malik,24,0,8,0,0,0
Brabourne Stadium,Mumbai Indians,YK Pathan,12,0,,,,
Brabourne Stadium,Punjab Kings,DJ Bravo,18,1,,,,
Brabourne Stadium,Punjab Kings,Harbhajan Singh,25,1,7,0,0,0
Brabourne Stadium,Punjab Kings,KA Pollard,14,0,,,,
Brabourne Stadium,Punjab Kings,R McLaren,19,1,16,0,0,0
Brabourne Stadium,Punjab Kings,SL Malinga,26,4,7,1,1,1
Brabourne Stadium,Punjab Kings,Z Khan,25,3,18,1,1,1
Brabourne Stadium,Rajasthan Royals,A Mishra,25,0,,,,
Brabourne Stadium,Rajasthan Royals,AD Mathews,24,1,,,,
Brabourne Stadium,Rajasthan Royals,AD Russell,24,3,,,,
Brabourne Stadium,Rajasthan Royals,AG Murtaza,48,1,1,1,1,1
Brabourne Stadium,Rajasthan Royals,Azhar Mahmood,20,1,9,0,0,0
Brabourne Stadium,Rajasthan Royals,B Kumar,48,3,17,1,1,1
Brabourne Stadium,Rajasthan Royals,GS Sandhu,24,0,7,0,0,0
Brabourne Stadium,Rajasthan Royals,I Sharma,36,1,10,1,1,1
Brabourne Stadium,Rajasthan Royals,KV Sharma,36,1,,,,
Brabourne Stadium,Rajasthan Royals,M Morkel,25,0,26,0,0,0
Brabourne Stadium,Rajasthan Royals,MC Henriques,38,1,,,,
Brabourne Stadium,Rajasthan Royals,NM Coulter-Nile,24,1,14,0,0,0
Brabourne Stadium,Rajasthan Royals,P Kumar,48,0,9,0,0,0
Brabourne Stadium,Rajasthan Royals,PP Chawla,7,0,,,,
Brabourne Stadium,Rajasthan Royals,R McLaren,52,0,19,0,0,0
Brabourne Stadium,Rajasthan Royals,R Sathish,38,2,,,,
Brabourne Stadium,Rajasthan Royals,RS Bopara,36,1,,,,
Brabourne Stadium,Rajasthan Royals,SL Malinga,50,3,4,0,0,0
Brabourne Stadium,Rajasthan Royals,ST Jayasuriya,12,0,,,,
Brabourne Stadium,Rajasthan Royals,Shakib Al Hasan,25,0,14,0,0,0
Brabourne Stadium,Rajasthan Royals,UT Yadav,24,2,17,0,0,0
Brabourne Stadium,Rajasthan Royals,Z Khan,77,0.5,18.5,0.5,0,1
Brabourne Stadium,Royal Challengers Bangalore,DJ Bravo,38,0,12,0,0,0
Brabourne Stadium,Royal Challengers Bangalore,Harbhajan Singh,48,1,,,,
Brabourne Stadium,Royal Challengers Bangalore,KA Pollard,24,0,15,0,0,0
Brabourne Stadium,Royal Challengers Bangalore,SL Malinga,48,0,14,0,0,0
Brabourne Stadium,Royal Challengers Bangalore,ST Jayasuriya,24,0,,,,
Brabourne Stadium,Royal Challengers Bangalore,Z Khan,48,2,14,0,0,0
Brabourne Stadium,Sunrisers Hyderabad,CH Morris,27,0,17,0,0,0
Brabourne Stadium,Sunrisers Hyderabad,DJ Hooda,19,0,13,0,0,0
Brabourne Stadium,Sunrisers Hyderabad,DS Kulkarni,13,0,10,0,0,0
Brabourne Stadium,Sunrisers Hyderabad,JP Faulkner,25,1,7,0,0,0
Brabourne Stadium,Sunrisers Hyderabad,PV Tambe,24,1,,,,
Brabourne Stadium,Sunrisers Hyderabad,SR Watson,18,2,9,1,1,1
Buffalo Park,Chennai Super Kings,DR Smith,13,0,11,0,0,0
Buffalo Park,Chennai Super Kings,PP Ojha,25,0,,,,
Buffalo Park,Chennai Super Kings,RG Sharma,6,0,8,0,0,0
Buffalo Park,Chennai Super Kings,RJ Harris,24,0,16,0,0,0
Buffalo Park,Chennai Super Kings,RP Singh,26,1,18,0,0,0
Buffalo Park,Chennai Super Kings,Shoaib Ahmed,12,1,,,,
Buffalo Park,Chennai Super Kings,TL Suman,18,1,,,,
Buffalo Park,Deccan Chargers,JA Morkel,38,2,25,2,2,2
