venue,batting_team,strikerate_20,avg_runs_20,min_runs_20,max_runs_20,avg_wickets_20,min_wickets_20,max_wickets_20,avg_runs_6,min_runs_6,max_runs_6,avg_wickets_6,min_wickets_6,max_wickets_6
Buffalo Park,Kolkata Knight Riders,109.55000000000014,139.0,139,139,6.0,6,6,26.0,26,26,2.0,2,2
De Beers Diamond Oval,Deccan Chargers,136.08999999999986,167.0,166,168,6.0,5,7,47.0,42,52,1.5,1,2
De Beers Diamond Oval,Rajasthan Royals,114.7999999999999,140.0,140,140,7.0,7,7,34.0,34,34,1.0,1,1
De Beers Diamond Oval,Chennai Super Kings,121.46000000000001,141.0,141,141,3.0,3,3,37.0,37,37,2.0,2,2
De Beers Diamond Oval,Punjab Kings,138.57999999999973,169.0,169,169,7.0,7,7,45.0,45,45,2.0,2,2
De Beers Diamond Oval,Rajasthan Royals,93.98999999999992,113.0,113,113,10.0,10,10,30.0,30,30,2.0,2,2
Dr DY Patil Sports Academy,Chennai Super Kings,127.71000000000001,157.66666666666666,142,168,5.666666666666667,5,7,40.333333333333336,39,42,1.3333333333333333,0,3
Dr DY Patil Sports Academy,Deccan Chargers,72.02000000000001,82.0,82,82,10.0,10,10,27.0,27,27,3.0,3,3
Dr DY Patil Sports Academy,Kochi Tuskers Kerala,120.24000000000007,148.0,148,148,8.0,8,8,37.0,37,37,4.0,4,4
Dr DY Patil Sports Academy,Kolkata Knight Riders,126.83000000000008,161.0,161,161,4.0,4,4,38.0,38,38,4.0,4,4
Dr DY Patil Sports Academy,Mumbai Indians,132.81000000000006,166.4,154,184,6.8,5,8,46.4,27,54,1.8,1,3
Dr DY Patil Sports Academy,Pune Warriors,117.09999999999991,145.5,118,187,6.75,5,9,42.0,29,63,2.0,1,3
Dr DY Patil Sports Academy,Punjab Kings,89.59999999999992,112.0,112,112,8.0,8,8,36.0,36,36,5.0,5,5
Dr DY Patil Sports Academy,Rajasthan Royals,99.92999999999994,103.0,103,103,10.0,10,10,48.0,48,48,2.0,2,2
Dr DY Patil Sports Academy,Chennai Super Kings,117.73000000000006,145.0,145,145,2.0,2,2,28.0,28,28,1.0,1,1
Dr DY Patil Sports Academy,Deccan Chargers,122.0399999999999,135.6,104,155,6.2,0,10,50.4,23,62,1.4,0,4
Dr DY Patil Sports Academy,Delhi Capitals,137.74,161.5,133,190,8.5,7,10,52.0,37,67,1.0,0,2
Dr DY Patil Sports Academy,Kolkata Knight Riders,115.44999999999995,119.0,119,119,3.0,3,3,44.0,44,44,1.0,1,1
Dr DY Patil Sports Academy,Mumbai Indians,112.00000000000009,125.0,104,146,6.0,3,9,33.5,33,34,0.5,0,1
Dr DY Patil Sports Academy,Pune Warriors,122.16999999999996,134.33333333333334,113,151,5.333333333333333,3,7,39.666666666666664,31,44,1.3333333333333333,1,2
Dr DY Patil Sports Academy,Rajasthan Royals,129.9400000000002,164.0,164,164,7.0,7,7,41.0,41,41,1.0,1,1
Dr DY Patil Sports Academy,Royal Challengers Bangalore,110.71999999999991,117.5,86,149,5.0,1,9,38.5,33,44,0.5,0,1
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Chennai Super Kings,151.99000000000004,193.0,193,193,6.0,6,6,44.0,44,44,2.0,2,2
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Deccan Chargers,112.05000000000007,138.0,138,138,9.0,9,9,45.0,45,45,2.0,2,2
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Delhi Capitals,117.44999999999999,145.0,121,167,6.333333333333333,4,9,36.333333333333336,28,41,1.6666666666666667,1,2
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Mumbai Indians,135.71999999999986,165.0,124,206,6.5,4,9,33.0,21,45,1.0,0,2
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Punjab Kings,139.69000000000005,172.0,172,172,7.0,7,7,52.0,52,52,0.0,0,0
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Sunrisers Hyderabad,124.93000000000005,155.8,127,177,5.6,3,8,43.4,34,54,1.0,0,3
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Chennai Super Kings,130.07,151.0,151,151,4.0,4,4,42.0,42,42,0.0,0,0
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Deccan Chargers,112.07999999999993,119.0,119,119,10.0,10,10,45.0,45,45,1.0,1,1
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Delhi Capitals,121.61000000000016,145.5,126,165,9.0,8,10,52.0,49,55,1.0,0,2
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Kolkata Knight Riders,136.4599999999999,101.0,101,101,4.0,4,4,49.0,49,49,2.0,2,2
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Mumbai Indians,105.03000000000003,117.0,92,142,7.5,5,10,30.5,29,32,3.5,2,5
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Punjab Kings,119.63999999999992,127.0,127,127,3.0,3,3,32.0,32,32,1.0,1,1
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Rajasthan Royals,105.86000000000008,131.0,131,131,4.0,4,4,36.0,36,36,0.0,0,0
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Rising Pune Supergiant,119.18000000000002,127.33333333333333,76,173,5.0,1,8,37.666666666666664,25,44,1.3333333333333333,1,2
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Sunrisers Hyderabad,134.92,163.0,163,163,8.0,8,8,50.0,50,50,0.0,0,0
Dubai International Cricket Stadium,Chennai Super Kings,123.14999999999985,153.5,140,167,6.0,6,6,47.5,44,51,1.5,1,2
Dubai International Cricket Stadium,Delhi Capitals,126.72999999999998,159.85714285714286,110,196,6.142857142857143,3,9,40.714285714285715,22,63,1.5714285714285714,0,3
Dubai International Cricket Stadium,Kolkata Knight Riders,140.5999999999999,175.75,166,191,5.75,5,7,44.0,31,55,1.0,0,2
Dubai International Cricket Stadium,Mumbai Indians,130.61000000000013,158.0,115,200,6.75,5,9,46.5,31,63,1.75,1,3
Dubai International Cricket Stadium,Punjab Kings,137.09,170.0,126,206,4.666666666666667,3,7,47.666666666666664,46,50,0.3333333333333333,0,1
Dubai International Cricket Stadium,Rajasthan Royals,131.64999999999992,165.5,154,177,6.0,6,6,49.5,47,52,1.0,1,1
Dubai International Cricket Stadium,Royal Challengers Bangalore,128.32000000000008,160.4,124,201,5.2,3,8,47.6,36,59,1.2,0,4
Dubai International Cricket Stadium,Sunrisers Hyderabad,146.24999999999997,183.0,158,219,3.8333333333333335,1,6,50.333333333333336,26,77,0.6666666666666666,0,2
Dubai International Cricket Stadium,Chennai Super Kings,128.17,153.0,131,181,4.142857142857143,0,8,42.714285714285715,26,60,1.1428571428571428,0,3
Dubai International Cricket Stadium,Delhi Capitals,126.29999999999993,155.25,131,180,7.0,4,10,44.75,32,54,2.0,0,4
Dubai International Cricket Stadium,Mumbai Indians,138.52999999999994,156.5,111,201,4.5,1,7,41.5,32,61,1.5,0,3
Dubai International Cricket Stadium,Punjab Kings,129.03000000000014,151.8,127,176,6.8,5,10,44.2,33,57,2.2,1,3
Dubai International Cricket Stadium,Rajasthan Royals,115.95000000000002,142.4,131,163,8.2,5,10,40.8,36,50,2.8,2,5
Dubai International Cricket Stadium,Royal Challengers Bangalore,114.75000000000014,135.25,109,179,6.25,3,10,40.0,30,47,2.5,1,3
Dubai International Cricket Stadium,Sunrisers Hyderabad,118.00000000000013,142.5,114,156,7.5,2,10,49.5,40,58,1.25,0,2
Dubai International Cricket Stadium,Mumbai Indians,116.68,7.0,7,7,1.0,1,1,7.0,7,7,1.0,1,1
Dubai International Cricket Stadium,Punjab Kings,77.77,3.5,2,5,2.0,2,2,3.5,2,5,2.0,2,2
Dubai International Cricket Stadium,Delhi Capitals,100.0,3.0,3,3,0.0,0,0,3.0,3,3,0.0,0,0
Dubai International Cricket Stadium,Mumbai Indians,83.35000000000001,5.0,5,5,1.0,1,1,5.0,5,5,1.0,1,1
Dubai International Cricket Stadium,Royal Challengers Bangalore,183.35000000000002,11.0,11,11,0.0,0,0,11.0,11,11,0.0,0,0
Dubai International Cricket Stadium,Mumbai Indians,137.5,11.0,11,11,1.0,1,1,11.0,11,11,1.0,1,1
Dubai International Cricket Stadium,Punjab Kings,375.0,15.0,15,15,0.0,0,0,15.0,15,15,0.0,0,0
Eden Gardens,Chennai Super Kings,125.46,154.8,114,177,5.0,3,9,41.4,15,69,1.8,1,4
Eden Gardens,Deccan Chargers,93.28999999999996,110.0,110,110,10.0,10,10,39.0,39,39,2.0,2,2
Eden Gardens,Delhi Capitals,108.16000000000008,128.66666666666666,98,160,8.666666666666666,6,10,44.333333333333336,35,53,2.3333333333333335,1,4
Eden Gardens,Kochi Tuskers Kerala,107.16000000000007,132.0,132,132,7.0,7,7,45.0,45,45,0.0,0,0
Eden Gardens,Kolkata Knight Riders,137.2400000000001,167.3658536585366,97,232,6.024390243902439,2,10,47.21951219512195,28,68,1.2682926829268293,0,4
Eden Gardens,Mumbai Indians,142.02,173.71428571428572,133,210,5.285714285714286,1,9,45.857142857142854,34,61,1.7142857142857142,1,3
Eden Gardens,Punjab Kings,123.88000000000001,154.83333333333334,119,183,6.833333333333333,5,9,43.333333333333336,26,57,1.1666666666666667,0,2
Eden Gardens,Rajasthan Royals,109.7600000000001,130.5,81,165,7.666666666666667,5,10,45.166666666666664,34,68,0.8333333333333334,0,2
Eden Gardens,Rising Pune Supergiant,95.51000000000006,103.0,103,103,6.0,6,6,37.0,37,37,2.0,2,2
Eden Gardens,Royal Challengers Bangalore,142.18000000000012,174.66666666666666,135,213,6.0,4,7,39.333333333333336,24,52,1.6666666666666667,1,3
Eden Gardens,Sunrisers Hyderabad,139.05000000000007,171.66666666666666,160,181,5.666666666666667,3,7,49.333333333333336,45,54,0.3333333333333333,0,1
Eden Gardens,Chennai Super Kings,119.06999999999996,131.16666666666666,55,162,5.5,0,9,38.5,27,51,1.3333333333333333,0,4
Eden Gardens,Deccan Chargers,124.77999999999984,155.5,154,157,6.5,5,8,44.5,30,59,1.5,1,2
Eden Gardens,Delhi Capitals,133.95000000000005,140.66666666666666,100,180,6.5,2,10,46.333333333333336,36,57,1.6666666666666667,0,4
Eden Gardens,Gujarat Lions,159.74000000000012,176.0,164,188,5.5,5,6,59.0,46,72,1.0,1,1
Eden Gardens,Kolkata Knight Riders,134.0699999999999,141.96969696969697,61,203,4.545454545454546,1,10,47.303030303030305,26,76,1.5454545454545454,0,3
Eden Gardens,Mumbai Indians,143.2000000000001,172.16666666666666,138,198,5.0,3,7,45.5,38,54,1.3333333333333333,0,3
Eden Gardens,Pune Warriors,113.21000000000016,143.0,143,143,8.0,8,8,45.0,45,45,2.0,2,2
Eden Gardens,Punjab Kings,146.5499999999999,162.4,126,204,4.8,1,9,55.2,37,73,1.6,0,3
Eden Gardens,Rajasthan Royals,136.58999999999983,157.0,144,177,5.0,4,7,49.333333333333336,42,55,1.6666666666666667,1,3
Eden Gardens,Rising Pune Supergiant,133.94999999999985,158.0,158,158,6.0,6,6,74.0,74,74,2.0,2,2
Eden Gardens,Royal Challengers Bangalore,135.00000000000003,145.85714285714286,49,186,4.857142857142857,1,10,43.714285714285715,35,63,1.5714285714285714,0,4
Eden Gardens,Sunrisers Hyderabad,114.46000000000001,141.4,132,155,7.0,5,9,42.2,33,48,1.2,0,3
Feroz Shah Kotla,Chennai Super Kings,127.30000000000003,157.0,110,192,4.333333333333333,1,8,42.333333333333336,39,47,1.0,0,2
Feroz Shah Kotla,Deccan Chargers,127.0200000000001,156.66666666666666,145,168,6.333333333333333,4,8,43.666666666666664,38,50,1.3333333333333333,1,2
Feroz Shah Kotla,Delhi Capitals,126.12999999999997,159.14705882352942,56,231,6.088235294117647,3,10,47.26470588235294,29,70,1.588235294117647,0,3
Feroz Shah Kotla,Gujarat Lions,146.34000000000012,180.66666666666666,162,208,6.666666666666667,6,7,55.666666666666664,38,71,1.3333333333333333,0,2
Feroz Shah Kotla,Kolkata Knight Riders,117.20000000000022,148.0,148,148,7.0,7,7,42.0,42,42,1.0,1,1
Feroz Shah Kotla,Mumbai Indians,152.39999999999992,191.75,161,218,5.5,3,8,52.75,24,67,0.75,0,2
Feroz Shah Kotla,Pune Warriors,147.83999999999997,192.0,192,192,3.0,3,3,52.0,52,52,1.0,1,1
Feroz Shah Kotla,Punjab Kings,99.03999999999996,121.66666666666667,111,136,8.333333333333334,8,9,37.0,27,47,2.3333333333333335,1,4
Feroz Shah Kotla,Rajasthan Royals,120.53999999999988,147.0,129,165,7.5,7,8,42.5,40,45,1.5,1,2
Feroz Shah Kotla,Royal Challengers Bangalore,149.71000000000012,186.33333333333334,161,215,3.6666666666666665,1,6,39.666666666666664,37,42,1.3333333333333333,1,2
Feroz Shah Kotla,Sunrisers Hyderabad,129.33,159.66666666666666,132,185,6.0,3,8,45.333333333333336,27,66,1.3333333333333333,1,2
Feroz Shah Kotla,Chennai Super Kings,151.75000000000023,186.33333333333334,181,190,4.333333333333333,2,6,55.666666666666664,49,62,0.3333333333333333,0,1
Feroz Shah Kotla,Deccan Chargers,149.23999999999978,182.0,182,182,9.0,9,9,71.0,71,71,1.0,1,1
Feroz Shah Kotla,Delhi Capitals,130.68000000000004,147.13636363636363,66,214,5.681818181818182,1,10,44.5,22,63,1.9545454545454546,0,5
Feroz Shah Kotla,Kochi Tuskers Kerala,139.5899999999999,141.0,141,141,3.0,3,3,67.0,67,67,1.0,1,1
Feroz Shah Kotla,Kolkata Knight Riders,128.03999999999994,152.42857142857142,137,169,6.142857142857143,2,10,47.714285714285715,36,60,1.5714285714285714,0,3
Feroz Shah Kotla,Mumbai Indians,121.5200000000002,144.0,99,170,7.4,2,10,47.2,31,56,1.6,1,3
Feroz Shah Kotla,Punjab Kings,131.22000000000003,138.5,94,202,5.333333333333333,3,9,53.333333333333336,39,73,1.6666666666666667,0,3
Feroz Shah Kotla,Rajasthan Royals,127.3300000000001,149.8,121,186,5.8,3,10,40.6,38,44,1.4,0,4
Feroz Shah Kotla,Rising Pune Supergiant,133.3999999999998,163.5,161,166,5.0,3,7,51.5,50,53,1.0,0,2
Feroz Shah Kotla,Royal Challengers Bangalore,136.41999999999996,147.0,99,181,5.25,0,9,52.0,38,65,1.25,0,3
Feroz Shah Kotla,Sunrisers Hyderabad,121.66,107.33333333333333,44,163,5.0,2,7,42.666666666666664,38,46,1.6666666666666667,1,2
Green Park,Gujarat Lions,143.81999999999977,174.5,154,195,7.5,5,10,55.5,50,61,1.0,0,2
Green Park,Kolkata Knight Riders,99.1999999999999,124.0,124,124,8.0,8,8,44.0,44,44,2.0,2,2
Green Park,Mumbai Indians,137.6,172.0,172,172,8.0,8,8,49.0,49,49,3.0,3,3
Green Park,Delhi Capitals,165.4800000000002,197.0,197,197,8.0,8,8,64.0,64,64,2.0,2,2
Green Park,Gujarat Lions,149.0,149.0,125,173,4.0,4,4,62.5,55,70,2.0,1,3
Green Park,Sunrisers Hyderabad,143.7799999999998,158.0,158,158,2.0,2,2,47.0,47,47,2.0,2,2
Himachal Pradesh Cricket Association Stadium,Chennai Super Kings,99.33999999999995,120.0,120,120,7.0,7,7,25.0,25,25,2.0,2,2
Himachal Pradesh Cricket Association Stadium,Deccan Chargers,160.83000000000004,198.0,198,198,2.0,2,2,58.0,58,58,0.0,0,0
Himachal Pradesh Cricket Association Stadium,Punjab Kings,143.64999999999998,180.42857142857142,141,232,4.857142857142857,2,8,39.0,20,53,1.4285714285714286,0,4
Himachal Pradesh Cricket Association Stadium,Chennai Super Kings,158.38000000000002,195.0,195,195,4.0,4,4,49.0,49,49,2.0,2,2
Himachal Pradesh Cricket Association Stadium,Deccan Chargers,145.95999999999978,178.0,178,178,5.0,5,5,45.0,45,45,1.0,1,1
Himachal Pradesh Cricket Association Stadium,Delhi Capitals,126.00000000000006,150.0,141,164,6.333333333333333,4,8,35.666666666666664,21,44,1.0,0,3
Himachal Pradesh Cricket Association Stadium,Mumbai Indians,112.7699999999999,133.0,133,133,9.0,9,9,51.0,51,51,2.0,2,2
Himachal Pradesh Cricket Association Stadium,Punjab Kings,109.94000000000008,119.5,116,123,7.0,4,10,44.0,43,45,1.0,0,2
Himachal Pradesh Cricket Association Stadium,Royal Challengers Bangalore,114.01999999999994,121.0,121,121,10.0,10,10,34.0,34,34,3.0,3,3
Holkar Cricket Stadium,Kochi Tuskers Kerala,138.26000000000008,178.0,178,178,7.0,7,7,62.0,62,62,0.0,0,0
Holkar Cricket Stadium,Kolkata Knight Riders,196.00000000000009,245.0,245,245,6.0,6,6,59.0,59,59,1.0,1,1
Holkar Cricket Stadium,Punjab Kings,133.14999999999984,153.33333333333334,88,198,6.666666666666667,4,10,47.333333333333336,46,49,1.3333333333333333,0,3
Holkar Cricket Stadium,Rajasthan Royals,106.58000000000001,124.5,97,152,9.5,9,10,38.5,32,45,2.5,2,3
Holkar Cricket Stadium,Rising Pune Supergiant,130.39999999999986,163.0,163,163,6.0,6,6,35.0,35,35,1.0,1,1
Holkar Cricket Stadium,Royal Challengers Bangalore,120.21000000000002,148.0,148,148,4.0,4,4,23.0,23,23,3.0,3,3
Holkar Cricket Stadium,Kochi Tuskers Kerala,204.11000000000013,98.0,98,98,2.0,2,2,87.0,87,87,2.0,2,2
Holkar Cricket Stadium,Mumbai Indians,175.39999999999992,187.5,176,199,3.0,2,4,60.5,39,82,1.0,1,1
Holkar Cricket Stadium,Punjab Kings,152.45999999999998,172.8,150,214,4.4,2,8,51.8,34,62,1.8,1,2
Holkar Cricket Stadium,Royal Challengers Bangalore,180.32000000000002,92.0,92,92,0.0,0,0,66.0,66,66,0.0,0,0
JSCA International Stadium Complex,Chennai Super Kings,135.98999999999984,157.0,138,185,3.3333333333333335,3,4,47.333333333333336,39,60,1.3333333333333333,1,2
JSCA International Stadium Complex,Pune Warriors,140.70999999999992,170.0,170,170,4.0,4,4,42.0,42,42,1.0,1,1
JSCA International Stadium Complex,Rajasthan Royals,120.22000000000006,148.0,148,148,8.0,8,8,42.0,42,42,0.0,0,0
JSCA International Stadium Complex,Royal Challengers Bangalore,103.60999999999993,127.0,115,139,8.5,8,9,25.5,22,29,1.5,1,2
JSCA International Stadium Complex,Chennai Super Kings,118.18999999999983,144.5,140,149,6.0,5,7,41.0,34,48,1.5,1,2
JSCA International Stadium Complex,Kolkata Knight Riders,113.86999999999986,131.0,114,163,7.0,5,9,34.333333333333336,31,39,3.0,2,4
JSCA International Stadium Complex,Royal Challengers Bangalore,116.43999999999997,142.0,142,142,5.0,5,5,17.0,17,17,1.0,1,1
JSCA International Stadium Complex,Sunrisers Hyderabad,156.42000000000007,189.0,189,189,4.0,4,4,64.0,64,64,0.0,0,0
Kingsmead,Chennai Super Kings,111.2,136.66666666666666,116,165,8.333333333333334,6,10,54.666666666666664,50,62,1.3333333333333333,1,2
Kingsmead,Deccan Chargers,134.3999999999999,168.0,168,168,9.0,9,9,55.0,55,55,0.0,0,0
Kingsmead,Delhi Capitals,146.11999999999998,181.0,173,189,6.0,5,7,57.5,56,59,1.5,1,2
Kingsmead,Kolkata Knight Riders,118.10999999999987,146.5,139,154,4.5,3,6,49.5,45,54,1.0,0,2
Kingsmead,Punjab Kings,110.03999999999985,138.5,119,158,7.0,6,8,36.0,26,46,1.5,1,2
Kingsmead,Rajasthan Royals,123.39000000000004,152.33333333333334,101,211,6.666666666666667,4,9,48.333333333333336,42,57,1.3333333333333333,0,4
Kingsmead,Royal Challengers Bangalore,126.31999999999994,156.5,145,168,9.0,9,9,43.5,38,49,2.5,2,3
Kingsmead,Chennai Super Kings,143.99999999999997,180.0,180,180,9.0,9,9,61.0,61,61,1.0,1,1
Kingsmead,Deccan Chargers,135.2999999999998,165.0,161,169,7.0,4,10,59.5,50,69,1.5,1,2
Kingsmead,Delhi Capitals,135.23,157.0,157,157,1.0,1,1,57.0,57,57,0.0,0,0
Kingsmead,Kolkata Knight Riders,101.16000000000003,90.5,79,102,3.5,1,6,44.5,29,60,2.0,1,3
Kingsmead,Mumbai Indians,108.30000000000004,138.33333333333334,116,156,8.0,7,10,33.0,23,50,2.3333333333333335,1,3
Kingsmead,Punjab Kings,108.06999999999991,133.75,92,173,6.5,3,8,34.25,29,44,1.25,0,4
Kingsmead,Royal Challengers Bangalore,112.21999999999989,137.5,132,143,6.5,5,8,39.5,33,46,1.5,0,3
M.Chinnaswamy Stadium,Chennai Super Kings,135.78999999999994,168.5,128,187,6.5,5,8,33.5,23,45,2.0,1,4
M.Chinnaswamy Stadium,Deccan Chargers,147.01000000000005,181.0,181,181,2.0,2,2,46.0,46,46,0.0,0,0
M.Chinnaswamy Stadium,Delhi Capitals,139.45999999999992,174.0,152,187,4.75,4,5,47.25,28,64,1.25,0,2
M.Chinnaswamy Stadium,Gujarat Lions,126.3999999999999,158.0,158,158,10.0,10,10,23.0,23,23,3.0,3,3
M.Chinnaswamy Stadium,Kochi Tuskers Kerala,97.16000000000003,125.0,125,125,9.0,9,9,49.0,49,49,1.0,1,1
M.Chinnaswamy Stadium,Kolkata Knight Riders,132.39000000000004,144.0,89,222,6.571428571428571,3,10,49.285714285714285,25,61,1.4285714285714286,0,3
M.Chinnaswamy Stadium,Mumbai Indians,154.51999999999998,195.66666666666666,187,209,6.333333333333333,4,8,44.666666666666664,34,52,0.6666666666666666,0,1
M.Chinnaswamy Stadium,Pune Warriors,147.80000000000007,182.0,182,182,6.0,6,6,58.0,58,58,0.0,0,0
M.Chinnaswamy Stadium,Punjab Kings,142.88000000000008,178.6,138,203,6.4,3,10,46.2,32,64,1.6,0,3
M.Chinnaswamy Stadium,Rajasthan Royals,125.51999999999992,155.25,92,217,6.5,2,10,39.25,31,52,1.0,0,2
M.Chinnaswamy Stadium,Rising Pune Supergiant,140.07999999999998,176.0,161,191,7.0,6,8,57.5,55,60,0.5,0,1
M.Chinnaswamy Stadium,Royal Challengers Bangalore,144.58000000000007,172.11904761904762,62,263,5.904761904761905,2,10,45.142857142857146,24,76,1.4285714285714286,0,7
M.Chinnaswamy Stadium,Sunrisers Hyderabad,132.32000000000008,165.4,128,208,6.6,6,7,45.6,30,59,1.0,0,2
M.Chinnaswamy Stadium,Chennai Super Kings,140.40000000000003,148.8,82,207,5.6,2,8,47.2,29,64,2.2,1,4
M.Chinnaswamy Stadium,Deccan Chargers,139.43999999999977,169.5,153,186,4.5,3,6,32.5,32,33,1.5,1,2
M.Chinnaswamy Stadium,Delhi Capitals,131.88000000000014,158.5,137,192,6.166666666666667,3,9,51.666666666666664,43,71,1.3333333333333333,0,2
