venue,opp_team,striker,strikerate_20,avg_runs_20,min_runs_20,max_runs_20,avg_wickets_20,min_wickets_20,max_wickets_20,avg_runs_6,min_runs_6,max_runs_6,avg_wickets_6,min_wickets_6,max_wickets_6
Arun Jaitley Stadium,Delhi Capitals,Mohammad Nabi,188.88,17.0,17,17,0.0,0,0,,,,,,
Arun Jaitley Stadium,Delhi Capitals,N Rana,99.99,4.5,1,8,1.0,1,1,8.0,8.0,8.0,1.0,1.0,1.0
Arun Jaitley Stadium,Delhi Capitals,NS Naik,41.17,7.0,7,7,1.0,1,1,7.0,7.0,7.0,1.0,1.0,1.0
Arun Jaitley Stadium,Delhi Capitals,PA Patel,160.73999999999995,22.5,6,39,1.0,1,1,22.5,6.0,39.0,1.0,1.0,1.0
Arun Jaitley Stadium,Delhi Capitals,PP Chawla,155.54999999999998,7.0,2,12,1.0,1,1,,,,,,
Arun Jaitley Stadium,Delhi Capitals,Q de Kock,129.57000000000002,35.0,35,35,0.0,0,0,25.0,25.0,25.0,0.0,0.0,0.0
Arun Jaitley Stadium,Delhi Capitals,R Ashwin,95.67999999999999,11.0,6,16,1.0,1,1,,,,,,
Arun Jaitley Stadium,Delhi Capitals,R Parag,94.41,50.0,50,50,1.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0
Arun Jaitley Stadium,Delhi Capitals,RA Jadeja,150.04000000000002,27.0,27,27,0.0,0,0,,,,,,
Arun Jaitley Stadium,Delhi Capitals,RA Tripathi,99.99,9.0,9,9,1.0,1,1,,,,,,
Arun Jaitley Stadium,Delhi Capitals,RG Sharma,126.42999999999998,21.5,13,30,1.0,1,1,30.0,30.0,30.0,0.0,0.0,0.0
Arun Jaitley Stadium,Delhi Capitals,RV Uthappa,140.0,7.0,1,13,1.0,1,1,7.0,1.0,13.0,1.0,1.0,1.0
Arun Jaitley Stadium,Delhi Capitals,S Dhawan,180.32000000000002,92.0,92,92,0.0,0,0,22.0,22.0,22.0,0.0,0.0,0.0
Arun Jaitley Stadium,Delhi Capitals,S Dube,150.0,24.0,24,24,1.0,1,1,,,,,,
Arun Jaitley Stadium,Delhi Capitals,S Gopal,66.71000000000001,12.0,12,12,1.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0
Arun Jaitley Stadium,Delhi Capitals,SA Yadav,122.63,19.0,12,26,1.5,1,2,12.0,12.0,12.0,1.0,1.0,1.0
Arun Jaitley Stadium,Delhi Capitals,SK Raina,132.30999999999997,22.5,15,30,1.0,1,1,19.0,19.0,19.0,0.0,0.0,0.0
Arun Jaitley Stadium,Delhi Capitals,SM Curran,0.0,0.0,0,0,1.0,1,1,,,,,,
Arun Jaitley Stadium,Delhi Capitals,SN Khan,110.0,11.0,11,11,1.0,1,1,,,,,,
Arun Jaitley Stadium,Delhi Capitals,SP Narine,288.89000000000004,26.0,26,26,1.0,1,1,26.0,26.0,26.0,1.0,1.0,1.0
Arun Jaitley Stadium,Delhi Capitals,SR Watson,116.0,29.0,14,44,1.0,1,1,21.5,13.0,30.0,0.0,0.0,0.0
Arun Jaitley Stadium,Delhi Capitals,STR Binny,0.0,0.0,0,0,1.0,1,1,,,,,,
Arun Jaitley Stadium,Delhi Capitals,SV Samson,57.129999999999995,4.0,3,5,1.0,1,1,5.0,5.0,5.0,1.0,1.0,1.0
Arun Jaitley Stadium,Delhi Capitals,SW Billings,20.0,1.0,1,1,1.0,1,1,,,,,,
Arun Jaitley Stadium,Delhi Capitals,Shivam Mavi,0.0,0.0,0,0,1.0,1,1,,,,,,
Arun Jaitley Stadium,Delhi Capitals,Shubman Gill,120.54999999999998,20.5,4,37,0.5,0,1,5.0,5.0,5.0,0.0,0.0,0.0
Arun Jaitley Stadium,Delhi Capitals,V Kohli,157.50999999999996,46.5,23,70,1.0,1,1,29.0,22.0,36.0,0.0,0.0,0.0
Arun Jaitley Stadium,Delhi Capitals,V Shankar,69.59,16.0,16,16,1.0,1,1,,,,,,
Arun Jaitley Stadium,Delhi Capitals,VR Aaron,42.87,3.0,3,3,0.0,0,0,,,,,,
Arun Jaitley Stadium,Delhi Capitals,Washington Sundar,50.0,1.0,1,1,1.0,1,1,,,,,,
Arun Jaitley Stadium,Delhi Capitals,YK Pathan,81.81000000000002,9.0,9,9,0.0,0,0,,,,,,
Arun Jaitley Stadium,Delhi Capitals,Yuvraj Singh,82.33000000000001,14.0,14,14,1.0,1,1,,,,,,
Arun Jaitley Stadium,Kolkata Knight Riders,C Munro,183.33999999999997,33.0,33,33,1.0,1,1,32.0,32.0,32.0,0.0,0.0,0.0
Arun Jaitley Stadium,Kolkata Knight Riders,CA Ingram,142.86999999999998,10.0,10,10,1.0,1,1,,,,,,
Arun Jaitley Stadium,Kolkata Knight Riders,GH Vihari,66.66,2.0,2,2,1.0,1,1,,,,,,
Arun Jaitley Stadium,Kolkata Knight Riders,GJ Maxwell,150.01999999999998,27.0,27,27,0.0,0,0,,,,,,
Arun Jaitley Stadium,Kolkata Knight Riders,PP Shaw,161.0,80.5,62,99,1.0,1,1,24.5,24.0,25.0,0.0,0.0,0.0
Arun Jaitley Stadium,Kolkata Knight Riders,RR Pant,85.0,8.5,0,17,1.0,1,1,6.0,6.0,6.0,0.0,0.0,0.0
Arun Jaitley Stadium,Kolkata Knight Riders,S Dhawan,200.0,16.0,16,16,1.0,1,1,16.0,16.0,16.0,1.0,1.0,1.0
Arun Jaitley Stadium,Kolkata Knight Riders,SS Iyer,179.4,70.0,47,93,1.5,1,2,8.0,8.0,8.0,1.0,1.0,1.0
Arun Jaitley Stadium,Mumbai Indians,A Mishra,66.66,6.0,6,6,0.0,0,0,,,,,,
Arun Jaitley Stadium,Mumbai Indians,AR Patel,108.35,26.0,26,26,2.0,2,2,,,,,,
Arun Jaitley Stadium,Mumbai Indians,Abhishek Sharma,136.36,15.0,15,15,0.0,0,0,,,,,,
Arun Jaitley Stadium,Mumbai Indians,C Munro,30.0,3.0,3,3,1.0,1,1,,,,,,
Arun Jaitley Stadium,Mumbai Indians,CH Morris,122.22,11.0,11,11,1.0,1,1,,,,,,
Arun Jaitley Stadium,Mumbai Indians,GJ Maxwell,115.77000000000001,22.0,22,22,2.0,2,2,22.0,22.0,22.0,2.0,2.0,2.0
Arun Jaitley Stadium,Mumbai Indians,K Rabada,112.5,9.0,9,9,1.0,1,1,,,,,,
Arun Jaitley Stadium,Mumbai Indians,PP Shaw,99.92999999999998,16.0,12,20,0.5,0,1,12.5,12.0,13.0,0.0,0.0,0.0
Arun Jaitley Stadium,Mumbai Indians,RR Pant,126.84000000000002,35.5,7,64,1.0,1,1,8.0,8.0,8.0,0.0,0.0,0.0
Arun Jaitley Stadium,Mumbai Indians,S Dhawan,159.10000000000002,35.0,35,35,1.0,1,1,35.0,35.0,35.0,0.0,0.0,0.0
Arun Jaitley Stadium,Mumbai Indians,SS Iyer,56.25,4.5,3,6,1.0,1,1,1.0,1.0,1.0,0.0,0.0,0.0
Arun Jaitley Stadium,Mumbai Indians,V Shankar,134.28000000000003,43.0,43,43,0.0,0,0,,,,,,
Arun Jaitley Stadium,Punjab Kings,A Mishra,50.0,1.0,1,1,0.0,0,0,,,,,,
Arun Jaitley Stadium,Punjab Kings,AR Patel,100.0,1.0,1,1,1.0,1,1,,,,,,
Arun Jaitley Stadium,Punjab Kings,CA Ingram,190.0,19.0,19,19,1.0,1,1,,,,,,
Arun Jaitley Stadium,Punjab Kings,DT Christian,54.540000000000006,6.0,6,6,0.0,0,0,,,,,,
Arun Jaitley Stadium,Punjab Kings,G Gambhir,25.0,4.0,4,4,1.0,1,1,4.0,4.0,4.0,1.0,1.0,1.0
Arun Jaitley Stadium,Punjab Kings,GJ Maxwell,120.0,12.0,12,12,1.0,1,1,12.0,12.0,12.0,1.0,1.0,1.0
Arun Jaitley Stadium,Punjab Kings,LE Plunkett,0.0,0.0,0,0,1.0,1,1,,,,,,
Arun Jaitley Stadium,Punjab Kings,PP Shaw,166.67,17.5,13,22,0.5,0,1,17.5,13.0,22.0,0.5,0.0,1.0
Arun Jaitley Stadium,Punjab Kings,R Tewatia,100.03000000000002,24.0,24,24,1.0,1,1,,,,,,
Arun Jaitley Stadium,Punjab Kings,RR Pant,66.69,5.0,4,6,1.0,1,1,1.0,1.0,1.0,0.0,0.0,0.0
Arun Jaitley Stadium,Punjab Kings,S Dhawan,127.23999999999998,56.0,56,56,2.0,2,2,34.0,34.0,34.0,1.0,1.0,1.0
Arun Jaitley Stadium,Punjab Kings,SE Rutherford,100.0,2.0,2,2,0.0,0,0,,,,,,
Arun Jaitley Stadium,Punjab Kings,SS Iyer,119.72999999999996,57.5,57,58,1.0,0,2,9.0,5.0,13.0,0.0,0.0,0.0
Arun Jaitley Stadium,Rajasthan Royals,AR Patel,100.0,1.0,1,1,0.0,0,0,,,,,,
Arun Jaitley Stadium,Rajasthan Royals,C Munro,0.0,0.0,0,0,1.0,1,1,0.0,0.0,0.0,1.0,1.0,1.0
Arun Jaitley Stadium,Rajasthan Royals,CA Ingram,52.2,12.0,12,12,1.0,1,1,,,,,,
Arun Jaitley Stadium,Rajasthan Royals,GJ Maxwell,100.0,5.0,5,5,1.0,1,1,,,,,,
Arun Jaitley Stadium,Rajasthan Royals,LE Plunkett,50.0,1.0,1,1,0.0,0,0,,,,,,
Arun Jaitley Stadium,Rajasthan Royals,PP Shaw,161.74,27.5,8,47,1.0,1,1,23.0,8.0,38.0,0.5,0.0,1.0
Arun Jaitley Stadium,Rajasthan Royals,RR Pant,171.81999999999996,61.0,53,69,0.5,0,1,4.0,4.0,4.0,0.0,0.0,0.0
Arun Jaitley Stadium,Rajasthan Royals,S Dhawan,133.31,16.0,16,16,1.0,1,1,16.0,16.0,16.0,1.0,1.0,1.0
Arun Jaitley Stadium,Rajasthan Royals,SE Rutherford,157.14999999999998,11.0,11,11,1.0,1,1,,,,,,
Arun Jaitley Stadium,Rajasthan Royals,SS Iyer,147.7,32.5,15,50,1.0,1,1,19.0,14.0,24.0,0.0,0.0,0.0
Arun Jaitley Stadium,Rajasthan Royals,V Shankar,242.85000000000002,17.0,17,17,1.0,1,1,,,,,,
Arun Jaitley Stadium,Royal Challengers Bangalore,AR Patel,177.76,16.0,16,16,0.0,0,0,,,,,,
Arun Jaitley Stadium,Royal Challengers Bangalore,Abhishek Sharma,230.0,46.0,46,46,0.0,0,0,,,,,,
Arun Jaitley Stadium,Royal Challengers Bangalore,CA Ingram,157.14,11.0,11,11,1.0,1,1,,,,,,
Arun Jaitley Stadium,Royal Challengers Bangalore,JJ Roy,120.0,12.0,12,12,1.0,1,1,12.0,12.0,12.0,1.0,1.0,1.0
Arun Jaitley Stadium,Royal Challengers Bangalore,PP Shaw,142.84,10.0,2,18,1.0,1,1,10.0,2.0,18.0,1.0,1.0,1.0
Arun Jaitley Stadium,Royal Challengers Bangalore,RR Pant,161.87999999999997,34.0,7,61,1.0,1,1,17.0,17.0,17.0,0.0,0.0,0.0
Arun Jaitley Stadium,Royal Challengers Bangalore,S Dhawan,135.11,50.0,50,50,1.0,1,1,30.0,30.0,30.0,0.0,0.0,0.0
Arun Jaitley Stadium,Royal Challengers Bangalore,SE Rutherford,215.36,28.0,28,28,0.0,0,0,,,,,,
Arun Jaitley Stadium,Royal Challengers Bangalore,SS Iyer,113.48000000000002,42.0,32,52,1.0,1,1,10.0,10.0,10.0,0.0,0.0,0.0
Arun Jaitley Stadium,Royal Challengers Bangalore,V Shankar,105.0,21.0,21,21,0.0,0,0,,,,,,
Arun Jaitley Stadium,Sunrisers Hyderabad,AR Patel,176.9,23.0,23,23,0.0,0,0,,,,,,
Arun Jaitley Stadium,Sunrisers Hyderabad,CA Ingram,55.55,5.0,5,5,1.0,1,1,,,,,,
Arun Jaitley Stadium,Sunrisers Hyderabad,CH Morris,106.25,17.0,17,17,1.0,1,1,,,,,,
Arun Jaitley Stadium,Sunrisers Hyderabad,GJ Maxwell,112.5,9.0,9,9,1.0,1,1,,,,,,
Arun Jaitley Stadium,Sunrisers Hyderabad,HV Patel,141.13999999999996,24.0,24,24,0.0,0,0,,,,,,
Arun Jaitley Stadium,Sunrisers Hyderabad,JJ Roy,84.61,11.0,11,11,1.0,1,1,11.0,11.0,11.0,1.0,1.0,1.0
Arun Jaitley Stadium,Sunrisers Hyderabad,K Rabada,75.0,3.0,3,3,1.0,1,1,,,,,,
Arun Jaitley Stadium,Sunrisers Hyderabad,PP Shaw,90.92999999999999,10.0,9,11,1.0,1,1,10.0,9.0,11.0,1.0,1.0,1.0
Arun Jaitley Stadium,Sunrisers Hyderabad,R Tewatia,71.43,5.0,5,5,1.0,1,1,,,,,,
Arun Jaitley Stadium,Sunrisers Hyderabad,RR Pant,187.30999999999992,66.5,5,128,1.5,1,2,16.0,16.0,16.0,0.0,0.0,0.0
Arun Jaitley Stadium,Sunrisers Hyderabad,S Dhawan,85.7,12.0,12,12,1.0,1,1,12.0,12.0,12.0,1.0,1.0,1.0
Arun Jaitley Stadium,Sunrisers Hyderabad,SS Iyer,93.84,23.0,3,43,0.5,0,1,6.5,1.0,12.0,0.0,0.0,0.0
Barabati Stadium,Chennai Super Kings,DA Miller,142.41000000000003,47.0,47,47,1.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0
Barabati Stadium,Chennai Super Kings,GJ Bailey,307.68,40.0,40,40,0.0,0,0,,,,,,
Barabati Stadium,Chennai Super Kings,GJ Maxwell,225.0,90.0,90,90,1.0,1,1,1.0,1.0,1.0,0.0,0.0,0.0
Barabati Stadium,Chennai Super Kings,MG Johnson,183.35000000000002,11.0,11,11,0.0,0,0,,,,,,
Barabati Stadium,Chennai Super Kings,Mandeep Singh,37.5,3.0,3,3,1.0,1,1,3.0,3.0,3.0,1.0,1.0,1.0
Barabati Stadium,Chennai Super Kings,V Sehwag,120.0,30.0,30,30,1.0,1,1,30.0,30.0,30.0,1.0,1.0,1.0
Barabati Stadium,Deccan Chargers,A Mishra,0.0,0.0,0,0,1.0,1,1,,,,,,
Barabati Stadium,Deccan Chargers,AB Barath,70.0,7.0,7,7,1.0,1,1,,,,,,
Barabati Stadium,Deccan Chargers,AB de Villiers,103.86999999999998,27.0,27,27,2.0,2,2,12.0,12.0,12.0,0.0,0.0,0.0
Barabati Stadium,Deccan Chargers,BB McCullum,111.1,10.0,10,10,1.0,1,1,10.0,10.0,10.0,1.0,1.0,1.0
Barabati Stadium,Deccan Chargers,Bipul Sharma,133.35000000000002,8.0,8,8,0.0,0,0,,,,,,
Barabati Stadium,Deccan Chargers,DA Warner,172.71000000000004,57.0,57,57,0.0,0,0,33.0,33.0,33.0,0.0,0.0,0.0
Barabati Stadium,Deccan Chargers,DB Das,112.5,9.0,9,9,0.0,0,0,,,,,,
Barabati Stadium,Deccan Chargers,DP Nannes,50.0,1.0,1,1,0.0,0,0,,,,,,
Barabati Stadium,Deccan Chargers,DPMD Jayawardene,155.54,14.0,14,14,1.0,1,1,1.0,1.0,1.0,0.0,0.0,0.0
Barabati Stadium,Deccan Chargers,G Gambhir,96.80000000000003,30.0,30,30,1.0,1,1,20.0,20.0,20.0,0.0,0.0,0.0
Barabati Stadium,Deccan Chargers,IK Pathan,199.96000000000004,60.0,60,60,1.0,1,1,,,,,,
Barabati Stadium,Deccan Chargers,JH Kallis,95.87000000000002,23.0,23,23,1.0,1,1,,,,,,
Barabati Stadium,Deccan Chargers,KC Sangakkara,0.0,0.0,0,0,1.0,1,1,0.0,0.0,0.0,1.0,1.0,1.0
Barabati Stadium,Deccan Chargers,KD Karthik,170.29000000000002,46.0,46,46,1.0,1,1,,,,,,
Barabati Stadium,Deccan Chargers,M Manhas,124.98,7.5,7,8,1.0,1,1,,,,,,
Barabati Stadium,Deccan Chargers,MC Henriques,220.0,11.0,11,11,1.0,1,1,,,,,,
Barabati Stadium,Deccan Chargers,MJ Clarke,132.28000000000003,41.0,41,41,1.0,1,1,28.0,28.0,28.0,0.0,0.0,0.0
Barabati Stadium,Deccan Chargers,MK Pandey,0.0,0.0,0,0,1.0,1,1,0.0,0.0,0.0,1.0,1.0,1.0
Barabati Stadium,Deccan Chargers,MK Tiwary,99.94999999999999,30.0,30,30,0.0,0,0,,,,,,
Barabati Stadium,Deccan Chargers,MN Samuels,100.0,1.0,1,1,0.0,0,0,,,,,,
Barabati Stadium,Deccan Chargers,MS Bisla,47.62,5.0,0,10,0.5,0,1,4.5,0.0,9.0,0.0,0.0,0.0
Barabati Stadium,Deccan Chargers,PP Chawla,69.22,9.0,9,9,1.0,1,1,,,,,,
Barabati Stadium,Deccan Chargers,RS Bopara,115.14000000000001,38.0,38,38,2.0,2,2,20.0,20.0,20.0,1.0,1.0,1.0
Barabati Stadium,Deccan Chargers,RV Uthappa,144.45999999999998,26.0,26,26,1.0,1,1,,,,,,
Barabati Stadium,Deccan Chargers,S Ladda,0.0,0.0,0,0,1.0,1,1,,,,,,
Barabati Stadium,Deccan Chargers,S Sreesanth,240.0,12.0,12,12,0.0,0,0,,,,,,
Barabati Stadium,Deccan Chargers,SC Ganguly,104.69999999999999,45.0,45,45,1.0,1,1,19.0,19.0,19.0,0.0,0.0,0.0
Barabati Stadium,Deccan Chargers,SPD Smith,174.01999999999995,47.0,47,47,0.0,0,0,,,,,,
Barabati Stadium,Deccan Chargers,UT Yadav,75.0,3.0,3,3,0.0,0,0,,,,,,
Barabati Stadium,Deccan Chargers,V Sehwag,42.87,3.0,3,3,1.0,1,1,3.0,3.0,3.0,1.0,1.0,1.0
Barabati Stadium,Deccan Chargers,Y Nagar,14.29,1.0,1,1,1.0,1,1,,,,,,
Barabati Stadium,Deccan Chargers,YK Pathan,120.0,6.0,6,6,1.0,1,1,,,,,,
Barabati Stadium,Deccan Chargers,Yuvraj Singh,66.67,4.0,4,4,1.0,1,1,4.0,4.0,4.0,1.0,1.0,1.0
Barabati Stadium,Delhi Capitals,A Symonds,145.88,35.0,35,35,1.0,1,1,1.0,1.0,1.0,0.0,0.0,0.0
Barabati Stadium,Delhi Capitals,AC Gilchrist,171.42,24.0,24,24,1.0,1,1,24.0,24.0,24.0,1.0,1.0,1.0
Barabati Stadium,Delhi Capitals,HH Gibbs,119.26999999999995,31.0,31,31,1.0,1,1,19.0,19.0,19.0,0.0,0.0,0.0
Barabati Stadium,Delhi Capitals,MD Mishra,25.0,1.0,1,1,1.0,1,1,1.0,1.0,1.0,1.0,1.0,1.0
Barabati Stadium,Delhi Capitals,RG Sharma,149.96999999999997,45.0,45,45,1.0,1,1,,,,,,
Barabati Stadium,Delhi Capitals,TL Suman,152.6,29.0,29,29,0.0,0,0,,,,,,
Barabati Stadium,Delhi Capitals,WPUJC Vaas,150.0,3.0,3,3,0.0,0,0,,,,,,
Barabati Stadium,Delhi Capitals,Y Venugopal Rao,50.0,1.0,1,1,1.0,1,1,,,,,,
Barabati Stadium,Kolkata Knight Riders,A Mishra,100.0,1.0,1,1,0.0,0,0,,,,,,
Barabati Stadium,Kolkata Knight Riders,AP Tare,66.66,2.0,2,2,0.0,0,0,,,,,,
Barabati Stadium,Kolkata Knight Riders,AR Patel,100.0,1.0,1,1,1.0,1,1,,,,,,
Barabati Stadium,Kolkata Knight Riders,AT Rayudu,117.84999999999997,33.0,33,33,1.0,1,1,10.0,10.0,10.0,0.0,0.0,0.0
Barabati Stadium,Kolkata Knight Riders,Ankit Sharma,50.0,1.0,1,1,1.0,1,1,,,,,,
Barabati Stadium,Kolkata Knight Riders,CJ Anderson,149.99,18.0,18,18,1.0,1,1,,,,,,
Barabati Stadium,Kolkata Knight Riders,CL White,111.1,10.0,10,10,1.0,1,1,,,,,,
Barabati Stadium,Kolkata Knight Riders,CM Gautam,80.0,8.0,8,8,1.0,1,1,8.0,8.0,8.0,1.0,1.0,1.0
