venue,batting_team,strikerate_20,avg_runs_20,min_runs_20,max_runs_20,avg_wickets_20,min_wickets_20,max_wickets_20,avg_runs_6,min_runs_6,max_runs_6,avg_wickets_6,min_wickets_6,max_wickets_6
Dr DY Patil Sports Academy,Royal Challengers Bangalore,104.60999999999993,111.0,83,139,5.0,1,9,37.5,31,44,0.5,0,1
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Chennai Super Kings,132.42999999999984,161.0,140,182,5.0,4,6,42.5,42,43,1.0,0,2
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Deccan Chargers,108.63999999999992,124.0,115,133,9.5,9,10,43.0,41,45,1.5,1,2
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Delhi Capitals,113.14000000000001,139.6,119,159,7.4,4,10,41.4,28,54,1.4,0,2
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Kolkata Knight Riders,132.40999999999994,98.0,98,98,4.0,4,4,46.0,46,46,2.0,2,2
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Mumbai Indians,115.04000000000005,134.75,86,199,7.0,4,10,31.5,20,45,2.25,0,5
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Punjab Kings,124.33999999999995,142.0,116,168,5.0,3,7,38.5,29,48,0.5,0,1
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Rajasthan Royals,100.19000000000008,124.0,124,124,4.0,4,4,32.0,32,32,0.0,0,0
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Rising Pune Supergiant,113.60000000000002,121.33333333333333,69,165,5.0,1,8,34.666666666666664,24,42,1.3333333333333333,1,2
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Sunrisers Hyderabad,121.20000000000002,151.33333333333334,121,172,6.0,3,8,42.666666666666664,32,54,0.8333333333333334,0,3
Dubai International Cricket Stadium,Chennai Super Kings,119.53999999999992,145.55555555555554,126,170,4.555555555555555,0,8,41.333333333333336,25,54,1.2222222222222223,0,3
Dubai International Cricket Stadium,Delhi Capitals,119.75000000000007,150.9090909090909,105,186,6.454545454545454,3,10,39.81818181818182,21,62,1.7272727272727273,0,4
Dubai International Cricket Stadium,Kolkata Knight Riders,133.79999999999993,167.25,152,184,5.75,5,7,40.0,21,53,1.0,0,2
Dubai International Cricket Stadium,Mumbai Indians,127.75,154.375,103,202,6.0,1,9,44.0,30,60,2.0,0,5
Dubai International Cricket Stadium,Punjab Kings,126.17999999999996,154.125,115,195,6.5,3,10,46.0,30,70,2.0,0,5
Dubai International Cricket Stadium,Rajasthan Royals,117.59999999999995,143.57142857142858,126,167,7.571428571428571,5,10,41.142857142857146,33,50,2.2857142857142856,1,5
Dubai International Cricket Stadium,Royal Challengers Bangalore,114.56999999999991,141.44444444444446,100,202,5.666666666666667,3,10,41.77777777777778,30,65,1.7777777777777777,0,4
Dubai International Cricket Stadium,Sunrisers Hyderabad,126.94000000000007,158.0,110,208,5.3,1,10,47.4,26,76,0.9,0,2
Eden Gardens,Chennai Super Kings,117.18000000000004,135.36363636363637,51,170,5.2727272727272725,0,9,37.63636363636363,12,61,1.5454545454545454,0,4
Eden Gardens,Deccan Chargers,107.17000000000003,131.66666666666666,100,150,7.666666666666667,5,10,40.0,29,56,1.6666666666666667,1,2
Eden Gardens,Delhi Capitals,116.95999999999992,129.55555555555554,86,177,7.222222222222222,2,10,42.333333333333336,33,57,1.8888888888888888,0,4
Eden Gardens,Gujarat Lions,155.2100000000001,171.0,159,183,5.5,5,6,54.5,41,68,1.0,1,1
Eden Gardens,Kochi Tuskers Kerala,100.68000000000006,124.0,124,124,7.0,7,7,43.0,43,43,0.0,0,0
Eden Gardens,Kolkata Knight Riders,124.13000000000007,147.54054054054055,56,225,5.364864864864865,1,10,44.16216216216216,21,68,1.3918918918918919,0,4
Eden Gardens,Mumbai Indians,133.16,164.53846153846155,123,203,5.153846153846154,1,9,42.84615384615385,32,59,1.5384615384615385,0,3
Eden Gardens,Pune Warriors,105.3000000000001,133.0,133,133,8.0,8,8,41.0,41,41,2.0,2,2
Eden Gardens,Punjab Kings,128.8400000000001,150.63636363636363,113,199,5.909090909090909,1,9,44.81818181818182,22,72,1.3636363636363635,0,3
Eden Gardens,Rajasthan Royals,115.97999999999992,133.33333333333334,76,172,6.777777777777778,4,10,45.666666666666664,30,67,1.1111111111111112,0,3
Eden Gardens,Rising Pune Supergiant,109.00999999999993,123.5,97,150,6.0,6,6,51.0,35,67,2.0,2,2
Eden Gardens,Royal Challengers Bangalore,133.5599999999999,148.4,42,207,5.2,1,10,40.0,23,62,1.6,0,4
Eden Gardens,Sunrisers Hyderabad,116.34999999999988,143.625,120,173,6.5,3,9,40.75,31,50,0.875,0,3
Feroz Shah Kotla,Chennai Super Kings,133.96000000000004,163.66666666666666,104,191,4.333333333333333,1,8,46.333333333333336,36,58,0.6666666666666666,0,2
Feroz Shah Kotla,Deccan Chargers,128.3099999999999,158.75,142,179,7.0,4,9,48.75,37,68,1.25,1,2
Feroz Shah Kotla,Delhi Capitals,135.78000000000006,146.53571428571428,51,215,5.928571428571429,1,10,43.910714285714285,21,63,1.7321428571428572,0,5
Feroz Shah Kotla,Gujarat Lions,142.8300000000001,176.33333333333334,157,203,6.666666666666667,6,7,54.666666666666664,35,71,1.3333333333333333,0,2
Feroz Shah Kotla,Kochi Tuskers Kerala,121.76999999999988,123.0,123,123,3.0,3,3,54.0,54,54,1.0,1,1
Feroz Shah Kotla,Kolkata Knight Riders,116.37999999999994,141.0,126,158,6.25,2,10,43.5,33,59,1.5,0,3
Feroz Shah Kotla,Mumbai Indians,127.03999999999995,156.11111111111111,88,201,6.555555555555555,2,10,46.666666666666664,24,62,1.2222222222222223,0,3
Feroz Shah Kotla,Pune Warriors,136.29000000000002,177.0,177,177,3.0,3,3,49.0,49,49,1.0,1,1
Feroz Shah Kotla,Punjab Kings,114.1999999999999,126.88888888888889,90,197,6.333333333333333,3,9,45.44444444444444,25,71,1.8888888888888888,0,4
Feroz Shah Kotla,Rajasthan Royals,120.71999999999996,143.71428571428572,118,180,6.285714285714286,3,10,39.142857142857146,35,44,1.4285714285714286,0,4
Feroz Shah Kotla,Rising Pune Supergiant,124.83999999999983,153.0,151,155,5.0,3,7,50.5,50,51,1.0,0,2
Feroz Shah Kotla,Royal Challengers Bangalore,135.22999999999993,156.42857142857142,97,211,4.571428571428571,0,9,44.142857142857146,36,57,1.2857142857142858,0,3
Feroz Shah Kotla,Sunrisers Hyderabad,120.77,127.5,33,177,5.5,2,8,40.833333333333336,27,62,1.5,1,2
Green Park,Delhi Capitals,162.96000000000018,194.0,194,194,8.0,8,8,64.0,64,64,2.0,2,2
Green Park,Gujarat Lions,137.58999999999995,151.75,108,184,5.75,4,10,55.25,46,68,1.5,0,3
Green Park,Kolkata Knight Riders,93.59999999999991,117.0,117,117,8.0,8,8,41.0,41,41,2.0,2,2
Green Park,Mumbai Indians,131.19999999999993,164.0,164,164,8.0,8,8,49.0,49,49,3.0,3,3
Green Park,Sunrisers Hyderabad,140.13999999999982,154.0,154,154,2.0,2,2,45.0,45,45,2.0,2,2
Himachal Pradesh Cricket Association Stadium,Chennai Super Kings,123.40999999999987,150.5,116,185,5.5,4,7,34.5,23,46,2.0,2,2
Himachal Pradesh Cricket Association Stadium,Deccan Chargers,141.7799999999998,173.5,165,182,3.5,2,5,46.5,42,51,0.5,0,1
Himachal Pradesh Cricket Association Stadium,Delhi Capitals,116.48000000000005,138.66666666666666,129,151,6.333333333333333,4,8,31.0,21,39,1.0,0,3
Himachal Pradesh Cricket Association Stadium,Mumbai Indians,105.13999999999992,124.0,124,124,9.0,9,9,48.0,48,48,2.0,2,2
Himachal Pradesh Cricket Association Stadium,Punjab Kings,130.02999999999994,157.77777777777777,112,205,5.333333333333333,2,10,37.0,15,51,1.3333333333333333,0,4
Himachal Pradesh Cricket Association Stadium,Royal Challengers Bangalore,105.54999999999995,112.0,112,112,10.0,10,10,29.0,29,29,3.0,3,3
Holkar Cricket Stadium,Kochi Tuskers Kerala,137.5700000000001,122.0,89,155,4.5,2,7,64.0,49,79,1.0,0,2
Holkar Cricket Stadium,Kolkata Knight Riders,192.00000000000006,240.0,240,240,6.0,6,6,59.0,59,59,1.0,1,1
Holkar Cricket Stadium,Mumbai Indians,168.82999999999993,180.5,170,191,3.0,2,4,58.0,38,78,1.0,1,1
Holkar Cricket Stadium,Punjab Kings,138.92999999999995,157.875,83,207,5.25,2,10,48.25,32,60,1.625,0,3
Holkar Cricket Stadium,Rajasthan Royals,101.86000000000001,119.0,94,144,9.5,9,10,35.0,31,39,2.5,2,3
Holkar Cricket Stadium,Rising Pune Supergiant,125.59999999999987,157.0,157,157,6.0,6,6,35.0,35,35,1.0,1,1
Holkar Cricket Stadium,Royal Challengers Bangalore,133.07999999999998,116.0,88,144,2.0,0,4,43.5,23,64,1.5,0,3
JSCA International Stadium Complex,Chennai Super Kings,122.97000000000013,145.0,132,177,4.4,3,7,44.0,33,60,1.4,1,2
JSCA International Stadium Complex,Kolkata Knight Riders,106.90999999999988,123.0,110,148,7.0,5,9,28.0,18,37,3.0,2,4
JSCA International Stadium Complex,Pune Warriors,139.87999999999994,169.0,169,169,4.0,4,4,42.0,42,42,1.0,1,1
JSCA International Stadium Complex,Rajasthan Royals,110.47000000000006,136.0,136,136,8.0,8,8,36.0,36,36,0.0,0,0
JSCA International Stadium Complex,Royal Challengers Bangalore,101.09999999999997,124.33333333333333,112,132,7.333333333333333,5,9,22.333333333333332,17,29,1.3333333333333333,1,2
JSCA International Stadium Complex,Sunrisers Hyderabad,152.28,184.0,184,184,4.0,4,4,63.0,63,63,0.0,0,0
Kingsmead,Chennai Super Kings,112.50999999999986,139.25,109,165,8.5,6,10,53.5,50,58,1.25,1,2
Kingsmead,Deccan Chargers,126.03000000000006,155.33333333333334,153,159,7.666666666666667,4,10,54.666666666666664,47,67,1.0,0,2
Kingsmead,Delhi Capitals,137.62000000000012,166.0,149,188,4.333333333333333,1,7,55.333333333333336,52,59,1.0,0,2
Kingsmead,Kolkata Knight Riders,105.45000000000005,113.0,75,150,4.0,1,6,43.5,28,56,1.5,0,3
Kingsmead,Mumbai Indians,97.36000000000007,124.33333333333333,105,143,8.0,7,10,29.333333333333332,20,43,2.3333333333333335,1,3
Kingsmead,Punjab Kings,97.17000000000006,122.0,86,160,6.666666666666667,3,8,31.666666666666668,24,46,1.3333333333333333,0,4
Kingsmead,Rajasthan Royals,119.07000000000002,147.0,96,207,6.666666666666667,4,9,47.0,40,56,1.3333333333333333,0,4
Kingsmead,Royal Challengers Bangalore,112.61999999999989,139.25,124,160,7.75,5,9,39.0,30,48,2.0,0,3
M.Chinnaswamy Stadium,Chennai Super Kings,131.74999999999994,149.77777777777777,80,196,6.0,2,8,38.22222222222222,20,63,2.111111111111111,1,4
M.Chinnaswamy Stadium,Deccan Chargers,136.06000000000012,166.66666666666666,147,178,3.6666666666666665,2,6,34.666666666666664,30,43,1.0,0,2
M.Chinnaswamy Stadium,Delhi Capitals,127.65000000000003,157.0,133,181,5.8,3,9,46.8,25,63,1.5,0,3
M.Chinnaswamy Stadium,Gujarat Lions,109.80000000000001,122.0,92,147,7.666666666666667,3,10,35.333333333333336,22,46,2.3333333333333335,2,3
M.Chinnaswamy Stadium,Kochi Tuskers Kerala,89.37000000000002,115.0,115,115,9.0,9,9,48.0,48,48,1.0,1,1
M.Chinnaswamy Stadium,Kolkata Knight Riders,135.15000000000003,143.69230769230768,44,205,5.769230769230769,3,10,50.61538461538461,22,103,1.3076923076923077,0,3
M.Chinnaswamy Stadium,Mumbai Indians,122.64000000000009,146.0,103,192,5.083333333333333,1,9,35.416666666666664,18,52,1.5,0,4
M.Chinnaswamy Stadium,Pune Warriors,121.50000000000004,150.0,129,175,6.666666666666667,5,9,45.333333333333336,38,56,1.6666666666666667,0,4
M.Chinnaswamy Stadium,Punjab Kings,125.96000000000005,147.08333333333334,79,191,6.666666666666667,3,10,44.166666666666664,26,65,2.0833333333333335,0,5
M.Chinnaswamy Stadium,Rajasthan Royals,130.21,136.0,39,203,5.0,1,10,39.142857142857146,27,48,1.0,0,2
M.Chinnaswamy Stadium,Rising Pune Supergiant,132.1,166.0,148,184,7.0,6,8,55.0,50,60,0.5,0,1
M.Chinnaswamy Stadium,Royal Challengers Bangalore,133.02000000000004,154.0,2,252,5.7631578947368425,0,10,42.96052631578947,2,75,1.4736842105263157,0,7
M.Chinnaswamy Stadium,Sunrisers Hyderabad,133.0699999999999,164.125,121,199,5.5,2,7,48.875,29,64,0.875,0,2
MA Chidambaram Stadium,Chennai Super Kings,115.84999999999998,153.55357142857142,66,240,5.196428571428571,1,10,43.375,15,75,1.1785714285714286,0,4
MA Chidambaram Stadium,Deccan Chargers,122.88999999999993,151.0,141,174,5.0,3,8,51.5,47,59,1.0,0,2
MA Chidambaram Stadium,Delhi Capitals,108.99000000000001,126.375,99,166,6.875,2,10,43.625,25,62,2.125,0,4
MA Chidambaram Stadium,Kochi Tuskers Kerala,104.03000000000007,132.0,132,132,5.0,5,5,37.0,37,37,1.0,1,1
MA Chidambaram Stadium,Kolkata Knight Riders,118.88000000000005,148.6,104,197,6.8,4,9,45.0,20,63,1.9,0,4
MA Chidambaram Stadium,Mumbai Indians,117.70999999999995,143.22222222222223,109,189,6.0,3,9,46.0,38,60,1.1111111111111112,0,2
MA Chidambaram Stadium,Pune Warriors,107.28999999999998,132.33333333333334,110,151,7.0,5,9,44.0,36,50,2.0,0,4
MA Chidambaram Stadium,Punjab Kings,115.15000000000006,140.33333333333334,87,168,7.666666666666667,5,9,39.833333333333336,34,48,1.6666666666666667,0,2
MA Chidambaram Stadium,Rajasthan Royals,134.85,165.42857142857142,132,208,5.857142857142857,4,9,48.0,40,62,0.7142857142857143,0,3
MA Chidambaram Stadium,Royal Challengers Bangalore,115.69000000000004,142.5,66,189,7.3,4,10,40.5,22,60,1.7,0,3
MA Chidambaram Stadium,Sunrisers Hyderabad,129.75999999999988,161.25,151,171,5.0,3,6,41.75,34,52,2.0,1,3
Maharashtra Cricket Association Stadium,Chennai Super Kings,140.5800000000001,169.0,121,204,4.166666666666667,2,5,49.666666666666664,31,68,1.0,0,3
Maharashtra Cricket Association Stadium,Delhi Capitals,143.7000000000001,181.66666666666666,158,197,4.666666666666667,4,5,52.666666666666664,44,58,1.3333333333333333,1,2
Maharashtra Cricket Association Stadium,Gujarat Lions,137.99999999999994,171.5,154,189,8.5,7,10,61.0,54,68,0.5,0,1
Maharashtra Cricket Association Stadium,Kolkata Knight Riders,139.00999999999982,160.0,152,171,5.666666666666667,3,8,49.0,41,54,1.6666666666666667,1,2
Maharashtra Cricket Association Stadium,Mumbai Indians,136.38000000000005,163.66666666666666,155,176,4.0,2,8,51.333333333333336,46,60,0.6666666666666666,0,1
Maharashtra Cricket Association Stadium,Punjab Kings,107.06000000000009,127.6,70,157,8.8,7,10,37.8,26,48,3.0,1,5
Maharashtra Cricket Association Stadium,Rajasthan Royals,103.55,126.33333333333333,106,141,9.0,7,10,34.333333333333336,30,40,2.6666666666666665,2,3
Maharashtra Cricket Association Stadium,Rising Pune Supergiant,132.77000000000007,153.1818181818182,77,188,4.818181818181818,1,10,45.63636363636363,31,57,1.5454545454545454,0,4
Maharashtra Cricket Association Stadium,Royal Challengers Bangalore,111.84999999999988,139.0,92,173,6.25,3,9,40.5,35,46,1.25,1,2
Maharashtra Cricket Association Stadium,Sunrisers Hyderabad,130.97000000000003,167.0,166,168,3.5,3,4,33.5,26,41,0.5,0,1
Nehru Stadium,Chennai Super Kings,123.05999999999986,128.0,128,128,4.0,4,4,40.0,40,40,1.0,1,1
Nehru Stadium,Deccan Chargers,97.59999999999997,122.0,122,122,7.0,7,7,16.0,16,16,3.0,3,3
Nehru Stadium,Delhi Capitals,112.79999999999995,141.0,141,141,7.0,7,7,28.0,28,28,2.0,2,2
Nehru Stadium,Kochi Tuskers Kerala,109.79999999999993,122.0,67,150,6.6,3,10,39.0,25,58,2.4,0,6
Nehru Stadium,Kolkata Knight Riders,111.51999999999988,136.0,136,136,7.0,7,7,41.0,41,41,0.0,0,0
Nehru Stadium,Royal Challengers Bangalore,123.34999999999994,149.0,149,149,4.0,4,4,40.0,40,40,2.0,2,2
New Wanderers Stadium,Chennai Super Kings,118.21999999999991,147.0,140,154,7.5,5,10,50.5,50,51,1.0,0,2
New Wanderers Stadium,Deccan Chargers,112.88000000000005,140.66666666666666,128,159,6.0,4,8,40.666666666666664,28,48,1.3333333333333333,0,2
New Wanderers Stadium,Delhi Capitals,108.9700000000001,128.33333333333334,112,142,6.0,3,8,41.333333333333336,37,47,1.6666666666666667,0,3
New Wanderers Stadium,Kolkata Knight Riders,107.1999999999999,134.0,115,153,6.5,5,8,31.0,29,33,2.0,1,3
New Wanderers Stadium,Mumbai Indians,117.25999999999995,143.0,143,143,4.0,4,4,22.0,22,22,3.0,3,3
New Wanderers Stadium,Punjab Kings,100.59000000000007,127.0,127,127,7.0,7,7,35.0,35,35,3.0,3,3
New Wanderers Stadium,Royal Challengers Bangalore,115.72000000000011,136.25,127,144,4.25,1,9,41.5,27,58,1.25,1,2
Newlands,Chennai Super Kings,111.24000000000007,137.0,137,137,7.0,7,7,33.0,33,33,2.0,2,2
Newlands,Deccan Chargers,138.10999999999999,138.5,102,175,4.0,2,6,46.5,37,56,1.5,1,2
Newlands,Delhi Capitals,165.59000000000003,53.0,53,53,0.0,0,0,53.0,53,53,0.0,0,0
Newlands,Kolkata Knight Riders,94.38000000000005,121.0,96,146,9.5,9,10,33.5,18,49,2.5,2,3
Newlands,Mumbai Indians,134.15,162.0,162,162,7.0,7,7,39.0,39,39,1.0,1,1
Newlands,Punjab Kings,108.77999999999999,111.0,96,126,6.5,6,7,46.0,32,60,1.5,1,2
Newlands,Rajasthan Royals,86.85000000000005,103.0,49,158,7.666666666666667,6,10,35.666666666666664,8,70,2.6666666666666665,2,4
Newlands,Royal Challengers Bangalore,113.45999999999995,141.0,129,153,8.0,8,8,28.5,28,29,2.5,2,3
OUTsurance Oval,Delhi Capitals,100.1999999999999,125.5,106,145,6.0,3,9,30.5,28,33,2.0,2,2
OUTsurance Oval,Punjab Kings,93.47999999999999,114.0,114,114,4.0,4,4,33.0,33,33,3.0,3,3
OUTsurance Oval,Rajasthan Royals,96.90000000000006,123.0,123,123,9.0,9,9,18.0,18,18,2.0,2,2
"Punjab Cricket Association Stadium, Mohali",Chennai Super Kings,144.4800000000001,171.5,128,234,3.6666666666666665,0,5,41.333333333333336,28,50,1.3333333333333333,0,2
"Punjab Cricket Association Stadium, Mohali",Deccan Chargers,143.90999999999983,175.5,170,181,4.0,4,4,42.0,40,44,0.5,0,1
"Punjab Cricket Association Stadium, Mohali",Delhi Capitals,110.39999999999995,131.42857142857142,62,163,7.857142857142857,5,10,39.42857142857143,24,49,1.8571428571428572,0,3
"Punjab Cricket Association Stadium, Mohali",Gujarat Lions,148.27000000000004,171.0,156,186,4.5,4,5,55.5,55,56,1.0,0,2
"Punjab Cricket Association Stadium, Mohali",Kolkata Knight Riders,127.36999999999989,150.0,122,178,5.0,2,9,48.42857142857143,25,61,1.5714285714285714,0,4
"Punjab Cricket Association Stadium, Mohali",Mumbai Indians,126.36999999999996,146.5,82,184,6.625,3,10,45.125,32,62,1.125,0,3
"Punjab Cricket Association Stadium, Mohali",Pune Warriors,109.95000000000007,129.33333333333334,103,177,6.333333333333333,4,10,36.333333333333336,26,46,1.3333333333333333,0,3
"Punjab Cricket Association Stadium, Mohali",Punjab Kings,141.98000000000002,153.91071428571428,66,216,5.678571428571429,0,10,47.17857142857143,28,74,1.25,0,4
"Punjab Cricket Association Stadium, Mohali",Rajasthan Royals,132.0999999999999,160.28571428571428,141,176,6.0,2,8,45.42857142857143,37,61,1.2857142857142858,1,2
"Punjab Cricket Association Stadium, Mohali",Rising Pune Supergiant,114.49000000000007,141.0,141,141,7.0,7,7,46.0,46,46,1.0,1,1
"Punjab Cricket Association Stadium, Mohali",Royal Challengers Bangalore,134.11000000000007,151.42857142857142,76,180,4.857142857142857,2,8,51.57142857142857,34,63,1.4285714285714286,0,3
"Punjab Cricket Association Stadium, Mohali",Sunrisers Hyderabad,133.42000000000004,162.83333333333334,142,204,4.666666666666667,3,7,43.333333333333336,19,59,1.3333333333333333,0,3
"Rajiv Gandhi International Stadium, Uppal",Chennai Super Kings,127.16000000000003,159.16666666666666,125,213,4.5,3,7,42.833333333333336,26,52,1.0,0,2
"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,125.22999999999983,149.22222222222223,119,208,6.944444444444445,4,10,39.22222222222222,22,57,1.6111111111111112,0,3
"Rajiv Gandhi International Stadium, Uppal",Delhi Capitals,129.02999999999994,146.625,74,177,4.75,1,10,45.25,22,59,1.375,1,3
"Rajiv Gandhi International Stadium, Uppal",Gujarat Lions,103.48999999999987,126.5,121,132,6.5,6,7,32.0,26,38,2.5,2,3
"Rajiv Gandhi International Stadium, Uppal",Kolkata Knight Riders,126.31999999999994,154.5,116,199,5.0,2,8,42.25,26,62,1.125,0,2
"Rajiv Gandhi International Stadium, Uppal",Mumbai Indians,115.43000000000005,137.0909090909091,106,167,5.7272727272727275,1,8,40.63636363636363,30,56,1.6363636363636365,0,3
"Rajiv Gandhi International Stadium, Uppal",Pune Warriors,103.53999999999999,118.0,102,134,7.0,4,10,38.5,26,51,0.0,0,0
"Rajiv Gandhi International Stadium, Uppal",Punjab Kings,125.97000000000003,153.1,116,207,6.4,2,10,47.5,34,85,0.9,0,2
"Rajiv Gandhi International Stadium, Uppal",Rajasthan Royals,121.57000000000009,147.0,107,210,6.166666666666667,2,9,41.5,28,70,0.8333333333333334,0,1
"Rajiv Gandhi International Stadium, Uppal",Rising Pune Supergiant,106.17999999999995,113.66666666666667,81,141,5.666666666666667,3,8,34.666666666666664,33,37,1.0,1,1
"Rajiv Gandhi International Stadium, Uppal",Royal Challengers Bangalore,122.1999999999999,137.7,82,176,7.3,4,10,43.6,23,82,2.0,1,4
