venue,bowling_team,batsmen,strikerate_20,avg_runs_20,min_runs_20,max_runs_20,avg_wickets_20,min_wickets_20,max_wickets_20,avg_runs_6,min_runs_6,max_runs_6,avg_wickets_6,min_wickets_6,max_wickets_6
Arun Jaitley Stadium,Delhi Capitals,CH Gayle,186.46,69,69,69,1,1,1,32,32,32,0,0,0
Arun Jaitley Stadium,Delhi Capitals,DA Miller,132,16.5,7,26,1,1,1,4,4,4,0,0,0
Arun Jaitley Stadium,Delhi Capitals,DA Warner,55.58,10,10,10,1,1,1,6,6,6,0,0,0
Arun Jaitley Stadium,Delhi Capitals,DJ Bravo,100,2.5,1,4,0.5,0,1,,,,,,
Arun Jaitley Stadium,Delhi Capitals,DJ Hooda,90.9,10,10,10,1,1,1,,,,,,
Arun Jaitley Stadium,Delhi Capitals,DJM Short,176,44,44,44,1,1,1,11,11,11,0,0,0
Arun Jaitley Stadium,Delhi Capitals,DL Chahar,50,1,1,1,0,0,0,,,,,,
Arun Jaitley Stadium,Delhi Capitals,E Lewis,149.94,48,48,48,1,1,1,38,38,38,0,0,0
Arun Jaitley Stadium,Delhi Capitals,GC Viljoen,66.67,2,2,2,0,0,0,,,,,,
Arun Jaitley Stadium,Delhi Capitals,Gurkeerat Singh,135,27,27,27,1,1,1,,,,,,
Arun Jaitley Stadium,Delhi Capitals,H Klaasen,100,3,3,3,1,1,1,,,,,,
Arun Jaitley Stadium,Delhi Capitals,HH Pandya,178.77,29.5,27,32,1,1,1,,,,,,
Arun Jaitley Stadium,Delhi Capitals,Harpreet Brar,142.84,20,20,20,0,0,0,,,,,,
Arun Jaitley Stadium,Delhi Capitals,IS Sodhi,49.98,6,6,6,1,1,1,,,,,,
Arun Jaitley Stadium,Delhi Capitals,Ishan Kishan,35.7,5,5,5,1,1,1,5,5,5,0,0,0
Arun Jaitley Stadium,Delhi Capitals,JC Buttler,248.08,67,67,67,1,1,1,66,66,66,0,0,0
Arun Jaitley Stadium,Delhi Capitals,JJ Bumrah,0,0,0,0,1,1,1,,,,,,
Arun Jaitley Stadium,Delhi Capitals,JM Bairstow,165.5,48,48,48,1,1,1,47,47,47,0,0,0
Arun Jaitley Stadium,Delhi Capitals,K Gowtham,199.98,12,6,18,0.5,0,1,,,,,,
Arun Jaitley Stadium,Delhi Capitals,KA Pollard,100.01,7,7,7,1,1,1,,,,,,
Arun Jaitley Stadium,Delhi Capitals,KD Karthik,123.31,34.5,18,51,1,1,1,3.5,1,6,0,0,0
Arun Jaitley Stadium,Delhi Capitals,KH Pandya,128.05,20.5,4,37,0.5,0,1,,,,,,
Arun Jaitley Stadium,Delhi Capitals,KK Nair,103.02,34,34,34,1,1,1,6,6,6,0,0,0
Arun Jaitley Stadium,Delhi Capitals,KL Rahul,145.87,17.5,12,23,1,1,1,17.5,12,23,1,1,1
Arun Jaitley Stadium,Delhi Capitals,KM Jadhav,79.38,27,27,27,1,1,1,,,,,,
Arun Jaitley Stadium,Delhi Capitals,KS Williamson,156.68,83,83,83,0,0,0,14,14,14,0,0,0
Arun Jaitley Stadium,Delhi Capitals,Kuldeep Yadav,141.66,8.5,7,10,0,0,0,,,,,,
Arun Jaitley Stadium,Delhi Capitals,LS Livingstone,107.68,14,14,14,1,1,1,14,14,14,1,1,1
Arun Jaitley Stadium,Delhi Capitals,M Markande,27.27,3,3,3,1,1,1,,,,,,
Arun Jaitley Stadium,Delhi Capitals,MA Agarwal,92,11.5,2,21,1,1,1,10.5,2,19,0.5,0,1
Arun Jaitley Stadium,Delhi Capitals,MG Johnson,200.02,12,12,12,0,0,0,,,,,,
Arun Jaitley Stadium,Delhi Capitals,MK Lomror,266.66,8,8,8,1,1,1,8,8,8,1,1,1
Arun Jaitley Stadium,Delhi Capitals,MK Pandey,76.9,10,10,10,1,1,1,,,,,,
Arun Jaitley Stadium,Delhi Capitals,MM Ali,33.33,1,1,1,1,1,1,1,1,1,1,1,1
Arun Jaitley Stadium,Delhi Capitals,MP Stoinis,128,32,32,32,0,0,0,,,,,,
Arun Jaitley Stadium,Delhi Capitals,MS Dhoni,82.94,24.5,17,32,0.5,0,1,,,,,,
Arun Jaitley Stadium,Delhi Capitals,Mandeep Singh,104.9,21.5,13,30,1,1,1,,,,,,
Arun Jaitley Stadium,Delhi Capitals,Mohammad Nabi,188.88,17,17,17,0,0,0,,,,,,
Arun Jaitley Stadium,Delhi Capitals,N Rana,99.99,4.5,1,8,1,1,1,8,8,8,1,1,1
Arun Jaitley Stadium,Delhi Capitals,NS Naik,41.17,7,7,7,1,1,1,7,7,7,1,1,1
Arun Jaitley Stadium,Delhi Capitals,PA Patel,160.74,22.5,6,39,1,1,1,22.5,6,39,1,1,1
Arun Jaitley Stadium,Delhi Capitals,PP Chawla,155.55,7,2,12,1,1,1,,,,,,
Arun Jaitley Stadium,Delhi Capitals,Q de Kock,129.57,35,35,35,0,0,0,25,25,25,0,0,0
Arun Jaitley Stadium,Delhi Capitals,R Ashwin,95.68,11,6,16,1,1,1,,,,,,
Arun Jaitley Stadium,Delhi Capitals,R Parag,94.41,50,50,50,1,1,1,0,0,0,0,0,0
Arun Jaitley Stadium,Delhi Capitals,RA Jadeja,150.04,27,27,27,0,0,0,,,,,,
Arun Jaitley Stadium,Delhi Capitals,RA Tripathi,99.99,9,9,9,1,1,1,,,,,,
Arun Jaitley Stadium,Delhi Capitals,RG Sharma,126.43,21.5,13,30,1,1,1,30,30,30,0,0,0
Arun Jaitley Stadium,Delhi Capitals,RV Uthappa,140,7,1,13,1,1,1,7,1,13,1,1,1
Arun Jaitley Stadium,Delhi Capitals,S Dhawan,180.32,92,92,92,0,0,0,22,22,22,0,0,0
Arun Jaitley Stadium,Delhi Capitals,S Dube,150,24,24,24,1,1,1,,,,,,
Arun Jaitley Stadium,Delhi Capitals,S Gopal,66.71,12,12,12,1,1,1,0,0,0,0,0,0
Arun Jaitley Stadium,Delhi Capitals,SA Yadav,122.63,19,12,26,1.5,1,2,12,12,12,1,1,1
Arun Jaitley Stadium,Delhi Capitals,SK Raina,132.31,22.5,15,30,1,1,1,19,19,19,0,0,0
Arun Jaitley Stadium,Delhi Capitals,SM Curran,0,0,0,0,1,1,1,,,,,,
Arun Jaitley Stadium,Delhi Capitals,SN Khan,110,11,11,11,1,1,1,,,,,,
Arun Jaitley Stadium,Delhi Capitals,SP Narine,288.89,26,26,26,1,1,1,26,26,26,1,1,1
Arun Jaitley Stadium,Delhi Capitals,SR Watson,116,29,14,44,1,1,1,21.5,13,30,0,0,0
Arun Jaitley Stadium,Delhi Capitals,STR Binny,0,0,0,0,1,1,1,,,,,,
Arun Jaitley Stadium,Delhi Capitals,SV Samson,57.13,4,3,5,1,1,1,5,5,5,1,1,1
Arun Jaitley Stadium,Delhi Capitals,SW Billings,20,1,1,1,1,1,1,,,,,,
Arun Jaitley Stadium,Delhi Capitals,Shivam Mavi,0,0,0,0,1,1,1,,,,,,
Arun Jaitley Stadium,Delhi Capitals,Shubman Gill,120.55,20.5,4,37,0.5,0,1,5,5,5,0,0,0
Arun Jaitley Stadium,Delhi Capitals,V Kohli,157.51,46.5,23,70,1,1,1,29,22,36,0,0,0
Arun Jaitley Stadium,Delhi Capitals,V Shankar,69.59,16,16,16,1,1,1,,,,,,
Arun Jaitley Stadium,Delhi Capitals,VR Aaron,42.87,3,3,3,0,0,0,,,,,,
Arun Jaitley Stadium,Delhi Capitals,Washington Sundar,50,1,1,1,1,1,1,,,,,,
Arun Jaitley Stadium,Delhi Capitals,YK Pathan,81.81,9,9,9,0,0,0,,,,,,
Arun Jaitley Stadium,Delhi Capitals,Yuvraj Singh,82.33,14,14,14,1,1,1,,,,,,
Arun Jaitley Stadium,Kolkata Knight Riders,C Munro,183.34,33,33,33,1,1,1,32,32,32,0,0,0
Arun Jaitley Stadium,Kolkata Knight Riders,CA Ingram,142.87,10,10,10,1,1,1,,,,,,
Arun Jaitley Stadium,Kolkata Knight Riders,GH Vihari,66.66,2,2,2,1,1,1,,,,,,
Arun Jaitley Stadium,Kolkata Knight Riders,GJ Maxwell,150.02,27,27,27,0,0,0,,,,,,
Arun Jaitley Stadium,Kolkata Knight Riders,PP Shaw,161,80.5,62,99,1,1,1,24.5,24,25,0,0,0
Arun Jaitley Stadium,Kolkata Knight Riders,RR Pant,85,8.5,0,17,1,1,1,6,6,6,0,0,0
Arun Jaitley Stadium,Kolkata Knight Riders,S Dhawan,200,16,16,16,1,1,1,16,16,16,1,1,1
Arun Jaitley Stadium,Kolkata Knight Riders,SS Iyer,179.4,70,47,93,1.5,1,2,8,8,8,1,1,1
Arun Jaitley Stadium,Mumbai Indians,A Mishra,66.66,6,6,6,0,0,0,,,,,,
Arun Jaitley Stadium,Mumbai Indians,AR Patel,108.35,26,26,26,2,2,2,,,,,,
Arun Jaitley Stadium,Mumbai Indians,Abhishek Sharma,136.36,15,15,15,0,0,0,,,,,,
Arun Jaitley Stadium,Mumbai Indians,C Munro,30,3,3,3,1,1,1,,,,,,
Arun Jaitley Stadium,Mumbai Indians,CH Morris,122.22,11,11,11,1,1,1,,,,,,
Arun Jaitley Stadium,Mumbai Indians,GJ Maxwell,115.77,22,22,22,2,2,2,22,22,22,2,2,2
Arun Jaitley Stadium,Mumbai Indians,K Rabada,112.5,9,9,9,1,1,1,,,,,,
Arun Jaitley Stadium,Mumbai Indians,PP Shaw,99.93,16,12,20,0.5,0,1,12.5,12,13,0,0,0
Arun Jaitley Stadium,Mumbai Indians,RR Pant,126.84,35.5,7,64,1,1,1,8,8,8,0,0,0
Arun Jaitley Stadium,Mumbai Indians,S Dhawan,159.1,35,35,35,1,1,1,35,35,35,0,0,0
Arun Jaitley Stadium,Mumbai Indians,SS Iyer,56.25,4.5,3,6,1,1,1,1,1,1,0,0,0
Arun Jaitley Stadium,Mumbai Indians,V Shankar,134.28,43,43,43,0,0,0,,,,,,
Arun Jaitley Stadium,Punjab Kings,A Mishra,50,1,1,1,0,0,0,,,,,,
Arun Jaitley Stadium,Punjab Kings,AR Patel,100,1,1,1,1,1,1,,,,,,
Arun Jaitley Stadium,Punjab Kings,CA Ingram,190,19,19,19,1,1,1,,,,,,
Arun Jaitley Stadium,Punjab Kings,DT Christian,54.54,6,6,6,0,0,0,,,,,,
Arun Jaitley Stadium,Punjab Kings,G Gambhir,25,4,4,4,1,1,1,4,4,4,1,1,1
Arun Jaitley Stadium,Punjab Kings,GJ Maxwell,120,12,12,12,1,1,1,12,12,12,1,1,1
Arun Jaitley Stadium,Punjab Kings,LE Plunkett,0,0,0,0,1,1,1,,,,,,
Arun Jaitley Stadium,Punjab Kings,PP Shaw,166.67,17.5,13,22,0.5,0,1,17.5,13,22,0.5,0,1
Arun Jaitley Stadium,Punjab Kings,R Tewatia,100.03,24,24,24,1,1,1,,,,,,
Arun Jaitley Stadium,Punjab Kings,RR Pant,66.69,5,4,6,1,1,1,1,1,1,0,0,0
Arun Jaitley Stadium,Punjab Kings,S Dhawan,127.24,56,56,56,2,2,2,34,34,34,1,1,1
Arun Jaitley Stadium,Punjab Kings,SE Rutherford,100,2,2,2,0,0,0,,,,,,
Arun Jaitley Stadium,Punjab Kings,SS Iyer,119.73,57.5,57,58,1,0,2,9,5,13,0,0,0
Arun Jaitley Stadium,Rajasthan Royals,AR Patel,100,1,1,1,0,0,0,,,,,,
Arun Jaitley Stadium,Rajasthan Royals,C Munro,0,0,0,0,1,1,1,0,0,0,1,1,1
Arun Jaitley Stadium,Rajasthan Royals,CA Ingram,52.2,12,12,12,1,1,1,,,,,,
Arun Jaitley Stadium,Rajasthan Royals,GJ Maxwell,100,5,5,5,1,1,1,,,,,,
Arun Jaitley Stadium,Rajasthan Royals,LE Plunkett,50,1,1,1,0,0,0,,,,,,
Arun Jaitley Stadium,Rajasthan Royals,PP Shaw,161.74,27.5,8,47,1,1,1,23,8,38,0.5,0,1
Arun Jaitley Stadium,Rajasthan Royals,RR Pant,171.82,61,53,69,0.5,0,1,4,4,4,0,0,0
Arun Jaitley Stadium,Rajasthan Royals,S Dhawan,133.31,16,16,16,1,1,1,16,16,16,1,1,1
Arun Jaitley Stadium,Rajasthan Royals,SE Rutherford,157.15,11,11,11,1,1,1,,,,,,
Arun Jaitley Stadium,Rajasthan Royals,SS Iyer,147.7,32.5,15,50,1,1,1,19,14,24,0,0,0
Arun Jaitley Stadium,Rajasthan Royals,V Shankar,242.85,17,17,17,1,1,1,,,,,,
Arun Jaitley Stadium,Royal Challengers Bangalore,AR Patel,177.76,16,16,16,0,0,0,,,,,,
Arun Jaitley Stadium,Royal Challengers Bangalore,Abhishek Sharma,230,46,46,46,0,0,0,,,,,,
Arun Jaitley Stadium,Royal Challengers Bangalore,CA Ingram,157.14,11,11,11,1,1,1,,,,,,
Arun Jaitley Stadium,Royal Challengers Bangalore,JJ Roy,120,12,12,12,1,1,1,12,12,12,1,1,1
Arun Jaitley Stadium,Royal Challengers Bangalore,PP Shaw,142.84,10,2,18,1,1,1,10,2,18,1,1,1
Arun Jaitley Stadium,Royal Challengers Bangalore,RR Pant,161.88,34,7,61,1,1,1,17,17,17,0,0,0
Arun Jaitley Stadium,Royal Challengers Bangalore,S Dhawan,135.11,50,50,50,1,1,1,30,30,30,0,0,0
Arun Jaitley Stadium,Royal Challengers Bangalore,SE Rutherford,215.36,28,28,28,0,0,0,,,,,,
Arun Jaitley Stadium,Royal Challengers Bangalore,SS Iyer,113.48,42,32,52,1,1,1,10,10,10,0,0,0
Arun Jaitley Stadium,Royal Challengers Bangalore,V Shankar,105,21,21,21,0,0,0,,,,,,
Arun Jaitley Stadium,Sunrisers Hyderabad,AR Patel,176.9,23,23,23,0,0,0,,,,,,
Arun Jaitley Stadium,Sunrisers Hyderabad,CA Ingram,55.55,5,5,5,1,1,1,,,,,,
Arun Jaitley Stadium,Sunrisers Hyderabad,CH Morris,106.25,17,17,17,1,1,1,,,,,,
Arun Jaitley Stadium,Sunrisers Hyderabad,GJ Maxwell,112.5,9,9,9,1,1,1,,,,,,
Arun Jaitley Stadium,Sunrisers Hyderabad,HV Patel,141.14,24,24,24,0,0,0,,,,,,
Arun Jaitley Stadium,Sunrisers Hyderabad,JJ Roy,84.61,11,11,11,1,1,1,11,11,11,1,1,1
Arun Jaitley Stadium,Sunrisers Hyderabad,K Rabada,75,3,3,3,1,1,1,,,,,,
Arun Jaitley Stadium,Sunrisers Hyderabad,PP Shaw,90.93,10,9,11,1,1,1,10,9,11,1,1,1
Arun Jaitley Stadium,Sunrisers Hyderabad,R Tewatia,71.43,5,5,5,1,1,1,,,,,,
Arun Jaitley Stadium,Sunrisers Hyderabad,RR Pant,187.31,66.5,5,128,1.5,1,2,16,16,16,0,0,0
Arun Jaitley Stadium,Sunrisers Hyderabad,S Dhawan,85.7,12,12,12,1,1,1,12,12,12,1,1,1
Arun Jaitley Stadium,Sunrisers Hyderabad,SS Iyer,93.84,23,3,43,0.5,0,1,6.5,1,12,0,0,0
Barabati Stadium,Chennai Super Kings,DA Miller,142.41,47,47,47,1,1,1,0,0,0,0,0,0
Barabati Stadium,Chennai Super Kings,GJ Bailey,307.68,40,40,40,0,0,0,,,,,,
Barabati Stadium,Chennai Super Kings,GJ Maxwell,225,90,90,90,1,1,1,1,1,1,0,0,0
Barabati Stadium,Chennai Super Kings,MG Johnson,183.35,11,11,11,0,0,0,,,,,,
Barabati Stadium,Chennai Super Kings,Mandeep Singh,37.5,3,3,3,1,1,1,3,3,3,1,1,1
Barabati Stadium,Chennai Super Kings,V Sehwag,120,30,30,30,1,1,1,30,30,30,1,1,1
Barabati Stadium,Deccan Chargers,A Mishra,0,0,0,0,1,1,1,,,,,,
Barabati Stadium,Deccan Chargers,AB Barath,70,7,7,7,1,1,1,,,,,,
Barabati Stadium,Deccan Chargers,AB de Villiers,103.87,27,27,27,2,2,2,12,12,12,0,0,0
Barabati Stadium,Deccan Chargers,BB McCullum,111.1,10,10,10,1,1,1,10,10,10,1,1,1
Barabati Stadium,Deccan Chargers,Bipul Sharma,133.35,8,8,8,0,0,0,,,,,,
Barabati Stadium,Deccan Chargers,DA Warner,172.71,57,57,57,0,0,0,33,33,33,0,0,0
Barabati Stadium,Deccan Chargers,DB Das,112.5,9,9,9,0,0,0,,,,,,
Barabati Stadium,Deccan Chargers,DP Nannes,50,1,1,1,0,0,0,,,,,,
Barabati Stadium,Deccan Chargers,DPMD Jayawardene,155.54,14,14,14,1,1,1,1,1,1,0,0,0
Barabati Stadium,Deccan Chargers,G Gambhir,96.8,30,30,30,1,1,1,20,20,20,0,0,0
Barabati Stadium,Deccan Chargers,IK Pathan,199.96,60,60,60,1,1,1,,,,,,
Barabati Stadium,Deccan Chargers,JH Kallis,95.87,23,23,23,1,1,1,,,,,,
Barabati Stadium,Deccan Chargers,KC Sangakkara,0,0,0,0,1,1,1,0,0,0,1,1,1
Barabati Stadium,Deccan Chargers,KD Karthik,170.29,46,46,46,1,1,1,,,,,,
Barabati Stadium,Deccan Chargers,M Manhas,124.98,7.5,7,8,1,1,1,,,,,,
Barabati Stadium,Deccan Chargers,MC Henriques,220,11,11,11,1,1,1,,,,,,
Barabati Stadium,Deccan Chargers,MJ Clarke,132.28,41,41,41,1,1,1,28,28,28,0,0,0
Barabati Stadium,Deccan Chargers,MK Pandey,0,0,0,0,1,1,1,0,0,0,1,1,1
Barabati Stadium,Deccan Chargers,MK Tiwary,99.95,30,30,30,0,0,0,,,,,,
Barabati Stadium,Deccan Chargers,MN Samuels,100,1,1,1,0,0,0,,,,,,
Barabati Stadium,Deccan Chargers,MS Bisla,47.62,5,0,10,0.5,0,1,4.5,0,9,0,0,0
Barabati Stadium,Deccan Chargers,PP Chawla,69.22,9,9,9,1,1,1,,,,,,
Barabati Stadium,Deccan Chargers,RS Bopara,115.14,38,38,38,2,2,2,20,20,20,1,1,1
Barabati Stadium,Deccan Chargers,RV Uthappa,144.46,26,26,26,1,1,1,,,,,,
Barabati Stadium,Deccan Chargers,S Ladda,0,0,0,0,1,1,1,,,,,,
Barabati Stadium,Deccan Chargers,S Sreesanth,240,12,12,12,0,0,0,,,,,,
Barabati Stadium,Deccan Chargers,SC Ganguly,104.7,45,45,45,1,1,1,19,19,19,0,0,0
Barabati Stadium,Deccan Chargers,SPD Smith,174.02,47,47,47,0,0,0,,,,,,
Barabati Stadium,Deccan Chargers,UT Yadav,75,3,3,3,0,0,0,,,,,,
Barabati Stadium,Deccan Chargers,V Sehwag,42.87,3,3,3,1,1,1,3,3,3,1,1,1
Barabati Stadium,Deccan Chargers,Y Nagar,14.29,1,1,1,1,1,1,,,,,,
Barabati Stadium,Deccan Chargers,YK Pathan,120,6,6,6,1,1,1,,,,,,
Barabati Stadium,Deccan Chargers,Yuvraj Singh,66.67,4,4,4,1,1,1,4,4,4,1,1,1
Barabati Stadium,Delhi Capitals,A Symonds,145.88,35,35,35,1,1,1,1,1,1,0,0,0
Barabati Stadium,Delhi Capitals,AC Gilchrist,171.42,24,24,24,1,1,1,24,24,24,1,1,1
Barabati Stadium,Delhi Capitals,HH Gibbs,119.27,31,31,31,1,1,1,19,19,19,0,0,0
Barabati Stadium,Delhi Capitals,MD Mishra,25,1,1,1,1,1,1,1,1,1,1,1,1
Barabati Stadium,Delhi Capitals,RG Sharma,149.97,45,45,45,1,1,1,,,,,,
Barabati Stadium,Delhi Capitals,TL Suman,152.6,29,29,29,0,0,0,,,,,,
Barabati Stadium,Delhi Capitals,WPUJC Vaas,150,3,3,3,0,0,0,,,,,,
Barabati Stadium,Delhi Capitals,Y Venugopal Rao,50,1,1,1,1,1,1,,,,,,
Barabati Stadium,Kolkata Knight Riders,A Mishra,100,1,1,1,0,0,0,,,,,,
Barabati Stadium,Kolkata Knight Riders,AP Tare,66.66,2,2,2,0,0,0,,,,,,
Barabati Stadium,Kolkata Knight Riders,AR Patel,100,1,1,1,1,1,1,,,,,,
Barabati Stadium,Kolkata Knight Riders,AT Rayudu,117.85,33,33,33,1,1,1,10,10,10,0,0,0
Barabati Stadium,Kolkata Knight Riders,Ankit Sharma,50,1,1,1,1,1,1,,,,,,
Barabati Stadium,Kolkata Knight Riders,CJ Anderson,149.99,18,18,18,1,1,1,,,,,,
Barabati Stadium,Kolkata Knight Riders,CL White,111.1,10,10,10,1,1,1,,,,,,
Barabati Stadium,Kolkata Knight Riders,CM Gautam,80,8,8,8,1,1,1,8,8,8,1,1,1
Barabati Stadium,Kolkata Knight Riders,DA Miller,92.84,13,13,13,1,1,1,,,,,,
Barabati Stadium,Kolkata Knight Riders,DW Steyn,233.33,7,7,7,1,1,1,,,,,,
Barabati Stadium,Kolkata Knight Riders,GJ Bailey,109.08,12,12,12,0,0,0,,,,,,
Barabati Stadium,Kolkata Knight Riders,GJ Maxwell,99.98,14,14,14,1,1,1,1,1,1,0,0,0
Barabati Stadium,Kolkata Knight Riders,IR Jaggi,42.87,3,3,3,1,1,1,,,,,,
Barabati Stadium,Kolkata Knight Riders,JP Duminy,106.69,16,16,16,0,0,0,,,,,,
Barabati Stadium,Kolkata Knight Riders,KA Pollard,90.9,10,10,10,0,0,0,,,,,,
Barabati Stadium,Kolkata Knight Riders,KC Sangakkara,80.03,12,12,12,1,1,1,12,12,12,1,1,1
Barabati Stadium,Kolkata Knight Riders,LMP Simmons,80.02,12,12,12,1,1,1,12,12,12,1,1,1
Barabati Stadium,Kolkata Knight Riders,MG Johnson,116.66,14,14,14,1,1,1,,,,,,
Barabati Stadium,Kolkata Knight Riders,Mandeep Singh,0,0,0,0,1,1,1,0,0,0,1,1,1
Barabati Stadium,Kolkata Knight Riders,PA Patel,121.03,23,23,23,1,1,1,2,2,2,0,0,0
Barabati Stadium,Kolkata Knight Riders,R Dhawan,66.68,4,4,4,1,1,1,,,,,,
Barabati Stadium,Kolkata Knight Riders,RG Sharma,110.82,51,51,51,1,1,1,1,1,1,0,0,0
Barabati Stadium,Kolkata Knight Riders,S Dhawan,100,50,50,50,1,1,1,24,24,24,0,0,0
Barabati Stadium,Kolkata Knight Riders,V Sehwag,138.39,72,72,72,1,1,1,30,30,30,0,0,0
Barabati Stadium,Kolkata Knight Riders,WP Saha,166.65,15,15,15,1,1,1,15,15,15,1,1,1
Barabati Stadium,Mumbai Indians,G Gambhir,73.67,14,14,14,1,1,1,10,10,10,0,0,0
Barabati Stadium,Mumbai Indians,MK Pandey,63.68,14,14,14,1,1,1,,,,,,
Barabati Stadium,Mumbai Indians,RV Uthappa,151.02,80,80,80,1,1,1,32,32,32,0,0,0
Barabati Stadium,Mumbai Indians,Shakib Al Hasan,112.5,9,9,9,1,1,1,,,,,,
Barabati Stadium,Mumbai Indians,YK Pathan,142.84,20,20,20,0,0,0,,,,,,
Barabati Stadium,Pune Warriors,BB Samantray,100,2,2,2,0,0,0,,,,,,
Barabati Stadium,Pune Warriors,CL White,164.36,74,74,74,1,1,1,15,15,15,0,0,0
Barabati Stadium,Pune Warriors,JP Duminy,133.33,4,4,4,0,0,0,,,,,,
Barabati Stadium,Pune Warriors,KC Sangakkara,157.64,82,82,82,1,1,1,4,4,4,0,0,0
Barabati Stadium,Pune Warriors,PA Patel,0,0,0,0,1,1,1,0,0,0,1,1,1
Barabati Stadium,Pune Warriors,S Dhawan,72.24,13,13,13,1,1,1,13,13,13,1,1,1
Barabati Stadium,Punjab Kings,A Symonds,139.45,53,53,53,1,1,1,6,6,6,0,0,0
Barabati Stadium,Punjab Kings,AC Gilchrist,253.83,33,33,33,1,1,1,33,33,33,1,1,1
Barabati Stadium,Punjab Kings,Anirudh Singh,0,0,0,0,1,1,1,,,,,,
Barabati Stadium,Punjab Kings,BB McCullum,109.95,33,33,33,0,0,0,12,12,12,0,0,0
Barabati Stadium,Punjab Kings,DR Smith,80,4,4,4,1,1,1,4,4,4,1,1,1
Barabati Stadium,Punjab Kings,F du Plessis,208,52,52,52,2,2,2,,,,,,
Barabati Stadium,Punjab Kings,G Gambhir,134.12,63,63,63,0,0,0,13,13,13,0,0,0
Barabati Stadium,Punjab Kings,HH Gibbs,100.03,23,23,23,1,1,1,6,6,6,0,0,0
Barabati Stadium,Punjab Kings,Jaskaran Singh,100,3,3,3,1,1,1,,,,,,
Barabati Stadium,Punjab Kings,M Manhas,200,8,8,8,0,0,0,,,,,,
Barabati Stadium,Punjab Kings,MK Pandey,102.89,36,36,36,0,0,0,,,,,,
Barabati Stadium,Punjab Kings,MS Dhoni,115,23,23,23,1,1,1,,,,,,
Barabati Stadium,Punjab Kings,R Ashwin,275,11,11,11,0,0,0,,,,,,
Barabati Stadium,Punjab Kings,RA Jadeja,212.5,17,17,17,1,1,1,,,,,,
Barabati Stadium,Punjab Kings,RG Sharma,50,1,1,1,1,1,1,,,,,,
Barabati Stadium,Punjab Kings,RP Singh,200,4,4,4,0,0,0,,,,,,
Barabati Stadium,Punjab Kings,RV Uthappa,158.61,46,46,46,1,1,1,39,39,39,0,0,0
Barabati Stadium,Punjab Kings,SK Raina,129.59,35,35,35,1,1,1,29,29,29,0,0,0
