venue,innings,batting_team,bowling_team,batsmen,bowler,total_runs
"Rajiv Gandhi International Stadium, Uppal",1,Deccan Chargers,Punjab Kings,"AC Gilchrist, HH Gibbs, VVS Laxman","IK Pathan, VRV Singh, S Sreesanth",50
"Rajiv Gandhi International Stadium, Uppal",2,Punjab Kings,Deccan Chargers,"SE Marsh, RR Sarwan","Shahid Afridi, DNT Zoysa, RP Singh, SB Bangar",41
Sawai Mansingh Stadium,1,Rajasthan Royals,Kolkata Knight Riders,"M Kaif, GC Smith, SA Asnodkar","AB Dinda, Umar Gul, AB Agarkar, I Sharma",45
Sawai Mansingh Stadium,2,Kolkata Knight Riders,Rajasthan Royals,"BJ Hodge, Salman Butt, SC Ganguly, AB Agarkar","SK Trivedi, SR Watson, Sohail Tanvir",51
MA Chidambaram Stadium,1,Chennai Super Kings,Delhi Capitals,"PA Patel, SP Fleming, S Vidyut","GD McGrath, PJ Sangwan, VY Mahesh, Mohammad Asif",47
MA Chidambaram Stadium,2,Delhi Capitals,Chennai Super Kings,"V Sehwag, G Gambhir","M Ntini, MS Gony, JA Morkel",64
"Rajiv Gandhi International Stadium, Uppal",1,Deccan Chargers,Royal Challengers Bangalore,"AC Gilchrist, HH Gibbs","DW Steyn, JH Kallis, A Kumble",41
"Rajiv Gandhi International Stadium, Uppal",2,Royal Challengers Bangalore,Deccan Chargers,"W Jaffer, Misbah-ul-Haq, JH Kallis","DP Vijaykumar, RP Singh, WPUJC Vaas, SB Bangar",43
"Punjab Cricket Association Stadium, Mohali",1,Punjab Kings,Kolkata Knight Riders,"SE Marsh, JR Hopes, KC Sangakkara","AB Dinda, AB Agarkar, I Sharma",49
"Punjab Cricket Association Stadium, Mohali",2,Kolkata Knight Riders,Punjab Kings,"Mohammad Hafeez, DB Das, SC Ganguly, LR Shukla, BJ Hodge, DJ Hussey","IK Pathan, S Sreesanth",31
Dr DY Patil Sports Academy,1,Mumbai Indians,Delhi Capitals,"YV Takawale, ST Jayasuriya","GD McGrath, VY Mahesh, Mohammad Asif",50
Dr DY Patil Sports Academy,2,Delhi Capitals,Mumbai Indians,"V Sehwag, G Gambhir, S Dhawan, AB de Villiers","DJ Bravo, A Nehra, SM Pollock",37
Sawai Mansingh Stadium,1,Chennai Super Kings,Rajasthan Royals,"PA Patel, SP Fleming, SK Raina, S Badrinath, S Vidyut, MS Dhoni","MM Patel, SK Trivedi, SR Watson, Sohail Tanvir",38
Sawai Mansingh Stadium,2,Rajasthan Royals,Chennai Super Kings,"GC Smith, SA Asnodkar","M Ntini, MS Gony",44
M.Chinnaswamy Stadium,1,Royal Challengers Bangalore,Punjab Kings,"W Jaffer, JH Kallis, CL White, R Dravid, V Kohli","IK Pathan, Gagandeep Singh, S Sreesanth",26
M.Chinnaswamy Stadium,2,Punjab Kings,Royal Challengers Bangalore,"SE Marsh, JR Hopes, RR Sarwan","P Kumar, DW Steyn, JH Kallis, Z Khan",52
MA Chidambaram Stadium,1,Chennai Super Kings,Deccan Chargers,"PA Patel, SP Fleming, SK Raina, S Badrinath, S Anirudha","SB Styris, DP Vijaykumar, RP Singh",34
MA Chidambaram Stadium,2,Deccan Chargers,Chennai Super Kings,"SB Styris, AC Gilchrist, HH Gibbs","M Ntini, MS Gony, JA Morkel",50
Dr DY Patil Sports Academy,1,Rajasthan Royals,Mumbai Indians,"GC Smith, SA Asnodkar, YK Pathan, SR Watson","DS Kulkarni, A Nehra, SM Pollock",48
Dr DY Patil Sports Academy,2,Mumbai Indians,Rajasthan Royals,"YV Takawale, ST Jayasuriya","MM Patel, SK Trivedi, Sohail Tanvir",34
Feroz Shah Kotla,1,Delhi Capitals,Chennai Super Kings,"V Sehwag, G Gambhir, S Dhawan, AB de Villiers","MS Gony, JA Morkel",50
Feroz Shah Kotla,2,Chennai Super Kings,Delhi Capitals,"SP Fleming, S Vidyut","GD McGrath, PJ Sangwan, VY Mahesh, Mohammad Asif",62
Eden Gardens,1,Kolkata Knight Riders,Royal Challengers Bangalore,"BJ Hodge, A Chopra, SC Ganguly, DJ Hussey","P Kumar, R Vinay Kumar, DW Steyn, Z Khan",41
Eden Gardens,2,Royal Challengers Bangalore,Kolkata Knight Riders,"MV Boucher, R Dravid, S Chanderpaul, J Arunkumar","AB Dinda, Umar Gul, SC Ganguly, I Sharma",35
Sawai Mansingh Stadium,1,Deccan Chargers,Rajasthan Royals,"AC Gilchrist, HH Gibbs","MM Patel, SR Watson, Sohail Tanvir",50
Sawai Mansingh Stadium,2,Rajasthan Royals,Deccan Chargers,"GC Smith, YK Pathan","SB Styris, PP Ojha, DP Vijaykumar, RP Singh",50
M.Chinnaswamy Stadium,1,Royal Challengers Bangalore,Mumbai Indians,"MV Boucher, Misbah-ul-Haq, SP Goswami","CRD Fernando, A Nehra, SM Pollock",36
M.Chinnaswamy Stadium,2,Mumbai Indians,Royal Challengers Bangalore,"SR Tendulkar, ST Jayasuriya","P Kumar, R Vinay Kumar, DW Steyn, A Kumble",39
MA Chidambaram Stadium,1,Chennai Super Kings,Punjab Kings,"SP Fleming, S Badrinath, S Vidyut, SK Raina","IK Pathan, VRV Singh, S Sreesanth",53
MA Chidambaram Stadium,2,Punjab Kings,Chennai Super Kings,"SE Marsh, JR Hopes, RR Sarwan, K Goel","MS Gony, JA Morkel",35
"Rajiv Gandhi International Stadium, Uppal",1,Kolkata Knight Riders,Deccan Chargers,"A Chopra, Salman Butt, SC Ganguly","SB Styris, RP Singh, DP Vijaykumar, WPUJC Vaas",43
"Rajiv Gandhi International Stadium, Uppal",2,Deccan Chargers,Kolkata Knight Riders,"DB Ravi Teja, SB Styris, HH Gibbs, RG Sharma, AC Gilchrist","AB Dinda, Umar Gul, I Sharma",55
Sawai Mansingh Stadium,1,Delhi Capitals,Rajasthan Royals,"V Sehwag, G Gambhir","MM Patel, SR Watson, AD Mascarenhas",47
Sawai Mansingh Stadium,2,Rajasthan Royals,Delhi Capitals,"M Kaif, GC Smith, YK Pathan, SR Watson","GD McGrath, PJ Sangwan, MF Maharoof",21
"Punjab Cricket Association Stadium, Mohali",1,Royal Challengers Bangalore,Punjab Kings,"J Arunkumar, Misbah-ul-Haq, CL White, R Dravid, V Kohli","IK Pathan, PP Chawla, S Sreesanth",50
"Punjab Cricket Association Stadium, Mohali",2,Punjab Kings,Royal Challengers Bangalore,"SE Marsh, JR Hopes","P Kumar, DW Steyn, Z Khan",42
Eden Gardens,1,Kolkata Knight Riders,Delhi Capitals,"A Chopra, Salman Butt","GD McGrath, PJ Sangwan, VY Mahesh",35
Eden Gardens,2,Delhi Capitals,Kolkata Knight Riders,"S Dhawan, TM Dilshan, MK Tiwary, V Sehwag, G Gambhir, AB de Villiers","AB Dinda, I Sharma, Shoaib Akhtar",37
"Wankhede Stadium, Mumbai",1,Chennai Super Kings,Mumbai Indians,"SP Fleming, S Badrinath, S Vidyut, SK Raina","DJ Bravo, A Nehra, SM Pollock",28
"Wankhede Stadium, Mumbai",2,Mumbai Indians,Chennai Super Kings,"SR Tendulkar, ST Jayasuriya","MS Gony, JA Morkel",78
"Punjab Cricket Association Stadium, Mohali",1,Punjab Kings,Rajasthan Royals,"SE Marsh, JR Hopes","MM Patel, Pankaj Singh, SR Watson",51
"Punjab Cricket Association Stadium, Mohali",2,Rajasthan Royals,Punjab Kings,"M Kaif, Niraj Patel, SR Watson, Younis Khan","IK Pathan, JR Hopes, S Sreesanth",38
Feroz Shah Kotla,1,Delhi Capitals,Deccan Chargers,"V Sehwag, G Gambhir, S Dhawan","PM Sarvesh Kumar, DP Vijaykumar, RP Singh",48
Feroz Shah Kotla,2,Deccan Chargers,Delhi Capitals,"Shahid Afridi, AC Gilchrist, HH Gibbs","GD McGrath, MF Maharoof, Mohammad Asif",71
"Wankhede Stadium, Mumbai",1,Kolkata Knight Riders,Mumbai Indians,"Mohammad Hafeez, Salman Butt, SC Ganguly, A Chopra, DJ Hussey","DJ Bravo, A Nehra, SM Pollock",27
"Wankhede Stadium, Mumbai",2,Mumbai Indians,Kolkata Knight Riders,"SR Tendulkar, DJ Thornely, ST Jayasuriya, RV Uthappa","I Sharma, AB Agarkar, Shoaib Akhtar",68
Feroz Shah Kotla,1,Delhi Capitals,Punjab Kings,"V Sehwag, G Gambhir","IK Pathan, VRV Singh, S Sreesanth",68
Feroz Shah Kotla,2,Punjab Kings,Delhi Capitals,"Yuvraj Singh, SE Marsh, LA Pomersbach, JR Hopes, DPMD Jayawardene","GD McGrath, V Sehwag, PJ Sangwan, A Mishra",73
Sawai Mansingh Stadium,1,Rajasthan Royals,Royal Challengers Bangalore,"GC Smith, SA Asnodkar","P Kumar, JH Kallis, Z Khan",51
Sawai Mansingh Stadium,2,Royal Challengers Bangalore,Rajasthan Royals,"J Arunkumar, Misbah-ul-Haq, JH Kallis, CL White, V Kohli","MM Patel, Sohail Tanvir",23
"Rajiv Gandhi International Stadium, Uppal",1,Mumbai Indians,Deccan Chargers,"SR Tendulkar, DJ Thornely, ST Jayasuriya","Y Venugopal Rao, DNT Zoysa, DP Vijaykumar, RP Singh",57
"Rajiv Gandhi International Stadium, Uppal",2,Deccan Chargers,Mumbai Indians,"LPC Silva, RG Sharma, Shahid Afridi, Y Venugopal Rao, AC Gilchrist","DJ Bravo, CRD Fernando, RR Raje, A Nehra",32
Eden Gardens,1,Kolkata Knight Riders,Chennai Super Kings,"Salman Butt, Mohammad Hafeez, SC Ganguly, DB Das","M Ntini, MS Gony",35
Eden Gardens,2,Chennai Super Kings,Kolkata Knight Riders,"PA Patel, SP Fleming","AB Dinda, I Sharma, AB Agarkar, Shoaib Akhtar",43
M.Chinnaswamy Stadium,1,Royal Challengers Bangalore,Delhi Capitals,"JH Kallis, SP Goswami, B Chipli","GD McGrath, PJ Sangwan, VY Mahesh",41
M.Chinnaswamy Stadium,2,Delhi Capitals,Royal Challengers Bangalore,"V Sehwag, G Gambhir","P Kumar, DW Steyn, JH Kallis, Z Khan",71
Eden Gardens,1,Kolkata Knight Riders,Rajasthan Royals,"Salman Butt, Mohammad Hafeez, SC Ganguly","MM Patel, SR Watson, Sohail Tanvir",32
Eden Gardens,2,Rajasthan Royals,Kolkata Knight Riders,"Sohail Tanvir, GC Smith, SA Asnodkar, SR Watson","AB Dinda, Umar Gul, AB Agarkar, I Sharma",42
"Wankhede Stadium, Mumbai",1,Punjab Kings,Mumbai Indians,"SE Marsh, LA Pomersbach, JR Hopes","VS Yeligati, A Nehra, SM Pollock",43
"Wankhede Stadium, Mumbai",2,Mumbai Indians,Punjab Kings,"DR Smith, SR Tendulkar, ST Jayasuriya","IK Pathan, VRV Singh, S Sreesanth",68
MA Chidambaram Stadium,1,Royal Challengers Bangalore,Chennai Super Kings,"R Dravid, JH Kallis, V Kohli, SP Goswami","M Ntini, MS Gony",23
MA Chidambaram Stadium,2,Chennai Super Kings,Royal Challengers Bangalore,"PA Patel, SP Fleming","P Kumar, DW Steyn, JH Kallis, A Kumble",44
"Punjab Cricket Association Stadium, Mohali",1,Deccan Chargers,Punjab Kings,"AC Gilchrist, HH Gibbs","VRV Singh, RR Powar, S Sreesanth",42
"Punjab Cricket Association Stadium, Mohali",2,Punjab Kings,Deccan Chargers,"SE Marsh, KC Sangakkara","SB Styris, Y Venugopal Rao, DP Vijaykumar, RP Singh",74
Feroz Shah Kotla,1,Mumbai Indians,Delhi Capitals,"SR Tendulkar, ST Jayasuriya","GD McGrath, VY Mahesh, MF Maharoof, B Geeves",60
Feroz Shah Kotla,2,Delhi Capitals,Mumbai Indians,"MK Tiwary, V Sehwag, G Gambhir, S Dhawan","A Nel, A Nehra, SM Pollock, DS Kulkarni",56
MA Chidambaram Stadium,1,Rajasthan Royals,Chennai Super Kings,"GC Smith, SA Asnodkar","M Ntini, MS Gony, JA Morkel",67
MA Chidambaram Stadium,2,Chennai Super Kings,Rajasthan Royals,"PA Patel, SP Fleming, SK Raina","MM Patel, Pankaj Singh, Sohail Tanvir, YK Pathan",65
M.Chinnaswamy Stadium,1,Royal Challengers Bangalore,Deccan Chargers,"W Jaffer, V Kohli, B Chipli","Shahid Afridi, SB Styris, DP Vijaykumar, RP Singh",46
M.Chinnaswamy Stadium,2,Deccan Chargers,Royal Challengers Bangalore,"RG Sharma, AC Gilchrist, HH Gibbs, VVS Laxman","P Kumar, DW Steyn, Z Khan",33
Eden Gardens,1,Punjab Kings,Kolkata Knight Riders,"SE Marsh, JR Hopes, KC Sangakkara","Umar Gul, BAW Mendis, I Sharma",47
Eden Gardens,2,Kolkata Knight Riders,Punjab Kings,"Salman Butt, SC Ganguly, DB Das, DJ Hussey","IK Pathan, RR Powar, S Sreesanth",51
Sawai Mansingh Stadium,1,Mumbai Indians,Rajasthan Royals,"SR Tendulkar, ST Jayasuriya","Pankaj Singh, SR Watson, Sohail Tanvir, YK Pathan",29
Sawai Mansingh Stadium,2,Rajasthan Royals,Mumbai Indians,"Kamran Akmal, SR Watson, SA Asnodkar, YK Pathan","CRD Fernando, A Nehra, SM Pollock",36
"Rajiv Gandhi International Stadium, Uppal",1,Deccan Chargers,Chennai Super Kings,"SB Styris, Y Venugopal Rao, AC Gilchrist, HH Gibbs","M Ntini, MS Gony",26
"Rajiv Gandhi International Stadium, Uppal",2,Chennai Super Kings,Deccan Chargers,"PA Patel, SP Fleming, SK Raina","Shahid Afridi, DP Vijaykumar, RP Singh",44
"Wankhede Stadium, Mumbai",1,Rajasthan Royals,Delhi Capitals,"GC Smith, SA Asnodkar","GD McGrath, VY Mahesh, Mohammad Asif",58
"Wankhede Stadium, Mumbai",2,Delhi Capitals,Rajasthan Royals,"S Dhawan, TM Dilshan, MK Tiwary, V Sehwag, G Gambhir","MM Patel, SR Watson, Sohail Tanvir",28
"Wankhede Stadium, Mumbai",1,Punjab Kings,Chennai Super Kings,"Yuvraj Singh, SE Marsh, IK Pathan, KC Sangakkara, JR Hopes, DPMD Jayawardene","M Ntini, MS Gony, M Muralitharan",35
"Wankhede Stadium, Mumbai",2,Chennai Super Kings,Punjab Kings,"PA Patel, S Vidyut, SK Raina","IK Pathan, VRV Singh, RR Powar, S Sreesanth",35
Dr DY Patil Sports Academy,1,Chennai Super Kings,Rajasthan Royals,"PA Patel, S Vidyut, SK Raina","MM Patel, SR Watson, Sohail Tanvir, YK Pathan",42
Dr DY Patil Sports Academy,2,Rajasthan Royals,Chennai Super Kings,"Kamran Akmal, Niraj Patel, SA Asnodkar","M Ntini, MS Gony",41
Newlands,1,Mumbai Indians,Chennai Super Kings,"SR Tendulkar, ST Jayasuriya, S Dhawan","MS Gony, T Thushara, A Flintoff",40
Newlands,2,Chennai Super Kings,Mumbai Indians,"ML Hayden, PA Patel, A Flintoff, SK Raina","DJ Bravo, SL Malinga, Z Khan",40
Newlands,1,Royal Challengers Bangalore,Rajasthan Royals,"JD Ryder, LRPL Taylor, KP Pietersen, R Dravid, RV Uthappa","MM Patel, AD Mascarenhas, Kamran Khan",29
Newlands,2,Rajasthan Royals,Royal Challengers Bangalore,"T Henderson, Niraj Patel, GC Smith, SA Asnodkar","P Kumar, R Vinay Kumar, DW Steyn",14
Newlands,1,Punjab Kings,Delhi Capitals,"RS Bopara, K Goel","DP Nannes, AM Salvi, PJ Sangwan, VY Mahesh",67
Newlands,2,Delhi Capitals,Punjab Kings,"V Sehwag, G Gambhir","IK Pathan, VRV Singh, PP Chawla, VS Malik, YA Abdulla",58
Newlands,1,Kolkata Knight Riders,Deccan Chargers,"CH Gayle, SC Ganguly, BB McCullum, BJ Hodge, A Chopra","FH Edwards, Harmeet Singh, RP Singh",21
Newlands,2,Deccan Chargers,Kolkata Knight Riders,"RG Sharma, AC Gilchrist, HH Gibbs, VVS Laxman","AB Dinda, I Sharma",37
St George's Park,1,Chennai Super Kings,Royal Challengers Bangalore,"ML Hayden, PA Patel","P Kumar, R Vinay Kumar, DW Steyn, JH Kallis",68
St George's Park,2,Royal Challengers Bangalore,Chennai Super Kings,"P Kumar, LRPL Taylor, JH Kallis, RV Uthappa","MS Gony, JA Morkel, L Balaji",46
Kingsmead,1,Punjab Kings,Kolkata Knight Riders,"IK Pathan, RS Bopara, K Goel","MC Henriques, AB Dinda, I Sharma",46
Kingsmead,2,Kolkata Knight Riders,Punjab Kings,"BB McCullum, BJ Hodge, CH Gayle","IK Pathan, VS Malik, YA Abdulla",60
Newlands,1,Deccan Chargers,Royal Challengers Bangalore,"AC Gilchrist, HH Gibbs, VVS Laxman","P Kumar, DW Steyn, JH Kallis",62
Newlands,2,Royal Challengers Bangalore,Deccan Chargers,"JD Ryder, KP Pietersen, JH Kallis, RV Uthappa","FH Edwards, Harmeet Singh, RP Singh",31
Kingsmead,1,Delhi Capitals,Chennai Super Kings,"TM Dilshan, V Sehwag, G Gambhir, AB de Villiers","L Balaji, MS Gony, A Flintoff, JA Morkel",59
Kingsmead,2,Chennai Super Kings,Delhi Capitals,"ML Hayden, PA Patel, SK Raina","DP Nannes, AM Salvi, PJ Sangwan, A Nehra",61
Newlands,1,Rajasthan Royals,Kolkata Knight Riders,"YK Pathan, GC Smith, PC Valthaty, RJ Quiney","AB Agarkar, I Sharma, Anureet Singh",54
Newlands,2,Kolkata Knight Riders,Rajasthan Royals,"BB McCullum, CH Gayle, LR Shukla","AD Mascarenhas, YK Pathan",38
Newlands,3,Kolkata Knight Riders,Rajasthan Royals,"BB McCullum, CH Gayle",Kamran Khan,15
Newlands,4,Rajasthan Royals,Kolkata Knight Riders,YK Pathan,BAW Mendis,18
Kingsmead,1,Royal Challengers Bangalore,Punjab Kings,"JD Ryder, KP Pietersen, JH Kallis, R Dravid, RV Uthappa","IK Pathan, RR Bose, YA Abdulla",49
Kingsmead,2,Punjab Kings,Royal Challengers Bangalore,"RS Bopara, K Goel","P Kumar, R Vinay Kumar, Pankaj Singh, JH Kallis",44
Kingsmead,1,Deccan Chargers,Mumbai Indians,"AC Gilchrist, HH Gibbs","DJ Bravo, Harbhajan Singh, SL Malinga, Z Khan",55
Kingsmead,2,Mumbai Indians,Deccan Chargers,"SR Tendulkar, ST Jayasuriya, JP Duminy","FH Edwards, Harmeet Singh, RP Singh",50
St George's Park,1,Royal Challengers Bangalore,Delhi Capitals,"LRPL Taylor, KP Pietersen, JH Kallis, RV Uthappa","DP Nannes, PJ Sangwan, A Nehra",45
St George's Park,2,Delhi Capitals,Royal Challengers Bangalore,"TM Dilshan, V Sehwag, G Gambhir, AB de Villiers","R Vinay Kumar, Pankaj Singh, JH Kallis",43
Newlands,1,Punjab Kings,Rajasthan Royals,"RS Bopara, Yuvraj Singh, KC Sangakkara","MM Patel, YK Pathan, AD Mascarenhas, Kamran Khan",38
Newlands,2,Rajasthan Royals,Punjab Kings,"SA Asnodkar, AD Mascarenhas, RJ Quiney, GC Smith, RA Jadeja, YK Pathan","IK Pathan, YA Abdulla, RR Powar, VRV Singh",32
Kingsmead,1,Chennai Super Kings,Deccan Chargers,"ML Hayden, PA Patel, SK Raina","DR Smith, FH Edwards, Y Venugopal Rao, RP Singh",62
Kingsmead,2,Deccan Chargers,Chennai Super Kings,"AC Gilchrist, HH Gibbs, VVS Laxman","SK Raina, L Balaji, M Muralitharan, MS Gony, JA Morkel",69
St George's Park,1,Mumbai Indians,Kolkata Knight Riders,"SR Tendulkar, ST Jayasuriya","AB Dinda, SC Ganguly, I Sharma",61
St George's Park,2,Kolkata Knight Riders,Mumbai Indians,"BB McCullum, BJ Hodge, CH Gayle, SC Ganguly","DJ Bravo, Harbhajan Singh, SL Malinga, Z Khan",47
SuperSport Park,1,Delhi Capitals,Rajasthan Royals,"TM Dilshan, V Sehwag, G Gambhir, AB de Villiers","MM Patel, AD Mascarenhas, Kamran Khan",42
SuperSport Park,2,Rajasthan Royals,Delhi Capitals,"PC Valthaty, GC Smith, SA Asnodkar, RJ Quiney","DP Nannes, PJ Sangwan, A Nehra",33
Kingsmead,1,Kolkata Knight Riders,Royal Challengers Bangalore,"BB McCullum, BJ Hodge, CH Gayle, SC Ganguly","P Kumar, RE van der Merwe, Pankaj Singh, KP Pietersen, A Kumble",45
Kingsmead,2,Royal Challengers Bangalore,Kolkata Knight Riders,"JH Kallis, SP Goswami","M Kartik, CH Gayle, AB Agarkar, I Sharma",46
Kingsmead,1,Punjab Kings,Mumbai Indians,"RS Bopara, KC Sangakkara, K Goel, Yuvraj Singh","DJ Bravo, Harbhajan Singh, SL Malinga, Z Khan",26
Kingsmead,2,Mumbai Indians,Punjab Kings,"JP Duminy, S Dhawan, ST Jayasuriya, DJ Bravo, SR Tendulkar","IK Pathan, VS Malik, YA Abdulla, RR Powar",23
SuperSport Park,1,Deccan Chargers,Delhi Capitals,"RG Sharma, AC Gilchrist, HH Gibbs, AA Bilakhia","DP Nannes, PJ Sangwan, A Nehra",37
SuperSport Park,2,Delhi Capitals,Deccan Chargers,"TM Dilshan, V Sehwag, G Gambhir, AB de Villiers","Shoaib Ahmed, FH Edwards, RP Singh",41
SuperSport Park,1,Chennai Super Kings,Rajasthan Royals,"ML Hayden, PA Patel, S Badrinath, SK Raina","AD Mascarenhas, YK Pathan",40
SuperSport Park,2,Rajasthan Royals,Chennai Super Kings,"GC Smith, SA Asnodkar, RA Jadeja, RJ Quiney","JDP Oram, S Tyagi, JA Morkel",38
Buffalo Park,1,Mumbai Indians,Kolkata Knight Riders,"Harbhajan Singh, SR Tendulkar, ST Jayasuriya, AM Nayar","M Kartik, AB Dinda, I Sharma, LR Shukla",40
Buffalo Park,2,Kolkata Knight Riders,Mumbai Indians,"BJ Hodge, CH Gayle, SC Ganguly, MN van Wyk","Harbhajan Singh, SL Malinga, Z Khan, GR Napier",26
